WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,90335008.0,11572.04881062573,5103614.0,593409.0,1954336.0,250.3533467818262,91055.0,12295.0,
United States of America,Americas,22428591.0,67759.55,1785047.0,198788.0,373329.0,1127.87,22576.0,1954.0,Community transmission
India,South-East Asia,10495147.0,7605.15,120215.0,15968.0,151529.0,109.8,1415.0,202.0,Clusters of cases
Brazil,Americas,8131612.0,38255.71,377860.0,25822.0,203580.0,957.76,7019.0,480.0,Community transmission
Russian Federation,Europe,3471053.0,23785.01,162452.0,22850.0,63370.0,434.24,3419.0,566.0,Clusters of cases
The United Kingdom,Europe,3164055.0,46608.35,389572.0,45533.0,83203.0,1225.63,6898.0,1243.0,Community transmission
France,Europe,2760259.0,42287.58,124708.0,19603.0,68419.0,1048.19,2517.0,362.0,Community transmission
Italy,Europe,2303263.0,38094.5,121644.0,14242.0,79819.0,1320.16,3490.0,616.0,Clusters of cases
Spain,Europe,2137220.0,45711.26,119432.0,14060.0,52683.0,1126.79,723.0,43.0,Community transmission
Germany,Europe,1953426.0,23315.04,144779.0,19600.0,42637.0,508.89,6100.0,1060.0,Community transmission
Colombia,Americas,1801903.0,35412.75,115772.0,15003.0,46451.0,912.9,2264.0,337.0,Community transmission
Argentina,Americas,1730921.0,38298.29,81981.0,8704.0,44654.0,988.01,1020.0,159.0,Community transmission
Mexico,Americas,1541633.0,11956.88,86414.0,7594.0,134368.0,1042.16,6611.0,662.0,Community transmission
Turkey,Europe,1531947.0,18164.14,76184.0,9809.0,23152.0,274.51,1273.0,171.0,Community transmission
Poland,Europe,1404905.0,37121.03,60142.0,9053.0,32074.0,847.47,2019.0,481.0,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1299022.0,15465.85,43402.0,6408.0,56360.0,671.01,612.0,98.0,Community transmission
South Africa,Africa,1259748.0,21240.53,131989.0,13105.0,34334.0,578.9,3810.0,755.0,Community transmission
Ukraine,Europe,1130839.0,25857.35,40343.0,6409.0,20214.0,462.21,857.0,195.0,Community transmission
Peru,Americas,1037350.0,31461.68,16292.0,2166.0,38335.0,1162.66,462.0,55.0,Community transmission
Netherlands,Europe,883135.0,51540.22,49398.0,4986.0,12563.0,733.18,743.0,153.0,Community transmission
Czechia,Europe,855600.0,79895.56,78633.0,10801.0,13656.0,1275.19,1220.0,171.0,Community transmission
Indonesia,South-East Asia,846765.0,3095.77,67217.0,10047.0,24645.0,90.1,1536.0,302.0,Community transmission
Romania,Europe,676968.0,35189.67,28680.0,3697.0,16881.0,877.5,703.0,156.0,Community transmission
Canada,Americas,668181.0,17703.84,56757.0,7892.0,17086.0,452.7,1012.0,136.0,Community transmission
Belgium,Europe,667322.0,57579.27,9739.0,0.0,20194.0,1742.42,290.0,0.0,Community transmission
Chile,Americas,649135.0,33957.32,26034.0,3243.0,17182.0,898.82,394.0,20.0,Community transmission
Iraq,Eastern Mediterranean,604549.0,15030.12,5423.0,810.0,12911.0,320.99,55.0,5.0,Community transmission
Bangladesh,South-East Asia,524020.0,3181.87,6100.0,718.0,7819.0,47.48,149.0,16.0,Community transmission
Sweden,Europe,506866.0,50188.4,37141.0,4639.0,9667.0,957.2,103.0,1.0,Community transmission
Pakistan,Eastern Mediterranean,506701.0,2293.88,16225.0,2408.0,10717.0,48.52,308.0,41.0,Clusters of cases
Portugal,Europe,496552.0,48697.28,59973.0,7259.0,8080.0,792.41,794.0,155.0,Clusters of cases
Israel,Europe,493501.0,57015.66,43971.0,0.0,3687.0,425.97,204.0,0.0,Community transmission
Philippines,Western Pacific,491258.0,4483.06,11565.0,1522.0,9554.0,87.19,233.0,138.0,Community transmission
Switzerland,Europe,484930.0,56031.33,21275.0,2836.0,7753.0,895.82,418.0,98.0,Community transmission
Morocco,Eastern Mediterranean,453789.0,12294.29,8350.0,801.0,7784.0,210.89,203.0,17.0,Clusters of cases
Austria,Europe,382763.0,42499.01,13983.0,1728.0,6782.0,753.02,379.0,80.0,Community transmission
Saudi Arabia,Eastern Mediterranean,364096.0,10458.36,837.0,147.0,6300.0,180.96,35.0,5.0,Sporadic cases
Serbia,Europe,363924.0,52259.67,14686.0,2142.0,3639.0,522.56,234.0,29.0,Community transmission
Hungary,Europe,345710.0,35786.48,13942.0,1358.0,10948.0,1133.29,750.0,95.0,Community transmission
Jordan,Eastern Mediterranean,309846.0,30367.73,8543.0,1176.0,4076.0,399.49,136.0,33.0,Community transmission
Japan,Western Pacific,297315.0,2350.75,44998.0,5103.0,4145.0,32.77,426.0,51.0,Clusters of cases
Panama,Americas,281353.0,65207.0,25123.0,2157.0,4500.0,1042.93,303.0,45.0,Community transmission
Nepal,South-East Asia,265698.0,9118.98,2914.0,430.0,1932.0,66.31,39.0,5.0,Clusters of cases
Georgia,Europe,243255.0,60978.9,9376.0,1618.0,2846.0,713.43,180.0,26.0,Community transmission
United Arab Emirates,Eastern Mediterranean,236225.0,23884.27,19526.0,3243.0,717.0,72.49,32.0,6.0,Community transmission
Lebanon,Eastern Mediterranean,226948.0,33250.29,31189.0,4557.0,1705.0,249.8,189.0,76.0,Community transmission
Azerbaijan,Europe,225346.0,22225.28,3945.0,519.0,2941.0,290.06,149.0,15.0,Clusters of cases
