WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,80155187.0,10267.99860790219,3859293.0,444437.0,1771128.0,226.8841296373818,70697.0,9035.0,
United States of America,Americas,18972813.0,57319.22,1260523.0,145513.0,330644.0,998.92,15326.0,1334.0,Community transmission
India,South-East Asia,10224303.0,7408.89,149187.0,16432.0,148153.0,107.36,2042.0,252.0,Clusters of cases
Brazil,Americas,7484285.0,35210.32,245685.0,18479.0,191139.0,899.23,4375.0,344.0,Community transmission
Russian Federation,Europe,3105037.0,21276.93,198534.0,27002.0,55827.0,382.55,3915.0,562.0,Clusters of cases
France,Europe,2519105.0,38593.07,82232.0,2757.0,62732.0,961.06,2207.0,362.0,Community transmission
The United Kingdom,Europe,2329734.0,34318.32,256219.0,41385.0,71109.0,1047.48,3493.0,357.0,Community transmission
Italy,Europe,2056277.0,34009.51,92223.0,8581.0,72370.0,1196.95,3156.0,445.0,Clusters of cases
Spain,Europe,1879413.0,40197.24,49733.0,2743.0,50122.0,1072.02,404.0,20.0,Community transmission
Germany,Europe,1664726.0,19869.27,134546.0,12892.0,30978.0,369.74,3972.0,852.0,Clusters of cases
Colombia,Americas,1594497.0,31336.6,87275.0,9594.0,42171.0,828.79,1696.0,228.0,Community transmission
Argentina,Americas,1583927.0,35045.91,42642.0,5660.0,42650.0,943.67,837.0,149.0,Community transmission
Mexico,Americas,1383434.0,10729.89,62889.0,6217.0,122426.0,949.53,4224.0,400.0,Community transmission
Turkey,Europe,1348437.0,15988.28,119071.0,15197.0,20135.0,238.74,1784.0,257.0,Community transmission
Poland,Europe,1268634.0,33520.41,54109.0,7624.0,27454.0,725.4,1671.0,307.0,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1206373.0,14362.79,41838.0,5908.0,54814.0,652.6,998.0,121.0,Community transmission
Ukraine,Europe,1037362.0,23719.94,57856.0,6988.0,18081.0,413.43,1184.0,232.0,Community transmission
South Africa,Africa,1011871.0,17061.09,81160.0,7458.0,27071.0,456.44,2164.0,336.0,Community transmission
Peru,Americas,1007657.0,30561.13,10140.0,1339.0,37474.0,1136.55,371.0,60.0,Community transmission
Netherlands,Europe,770732.0,44980.32,69865.0,7453.0,11047.0,644.71,530.0,44.0,Community transmission
Indonesia,South-East Asia,719219.0,2629.46,47441.0,5854.0,21452.0,78.43,1367.0,215.0,Community transmission
Czechia,Europe,685202.0,63983.87,49788.0,10862.0,11302.0,1055.38,740.0,150.0,Community transmission
Belgium,Europe,639734.0,55198.86,8800.0,5.0,19234.0,1659.59,377.0,8.0,Community transmission
Romania,Europe,618429.0,32146.74,24646.0,2620.0,15334.0,797.08,853.0,104.0,Community transmission
Chile,Americas,602028.0,31493.08,14540.0,1923.0,16443.0,860.16,246.0,0.0,Community transmission
Iraq,Eastern Mediterranean,592528.0,14731.26,7183.0,931.0,12791.0,318.01,81.0,11.0,Community transmission
Canada,Americas,552020.0,14626.09,44225.0,5520.0,14964.0,396.48,736.0,65.0,Community transmission
Bangladesh,South-East Asia,510080.0,3097.22,7897.0,932.0,7479.0,45.41,167.0,27.0,Community transmission
Pakistan,Eastern Mediterranean,473309.0,2142.71,14341.0,1974.0,9929.0,44.95,537.0,55.0,Clusters of cases
Philippines,Western Pacific,470650.0,4294.99,9145.0,764.0,9124.0,83.26,167.0,15.0,Community transmission
Switzerland,Europe,436192.0,50399.89,24030.0,2498.0,6751.0,780.05,571.0,60.0,Community transmission
Morocco,Eastern Mediterranean,433029.0,11731.85,15027.0,950.0,7272.0,197.02,272.0,32.0,Clusters of cases
