WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,99864391,12792.77693865276,4007698,468808,2149700,275.3797655965462,97086,12856,
United States of America,Americas,25050308,75680.08,1166009,133409,417889,1262.49,21734,1885,Community transmission
India,South-East Asia,10689527,7746.01,93867,12689,153724,111.39,1006,137,Clusters of cases
Brazil,Americas,8871393,41736.06,359623,26816,217664,1024.01,7365,627,Community transmission
Russian Federation,Europe,3774672,25865.53,140720,17741,71076,487.04,3856,594,Clusters of cases
The United Kingdom,Europe,3689750,54352.14,222897,20088,100162,1475.44,8692,1631,Community transmission
France,Europe,3029792,46416.87,139780,22086,73713,1129.29,2762,612,Community transmission
Spain,Europe,2629817,56247.02,197888,15660,56799,1214.83,1630,79,Community transmission
Italy,Europe,2485956,41116.13,85358,10584,86422,1429.36,3265,541,Clusters of cases
Turkey,Europe,2442350,28958.7,42569,7103,25344,300.5,1016,134,Community transmission
Germany,Europe,2161279,25795.86,93277,13202,53972,644.18,5202,982,Community transmission
Colombia,Americas,2027746,39851.23,104614,12261,51747,1016.98,2743,373,Community transmission
Argentina,Americas,1874801,41481.78,67373,7578,47034,1040.67,1202,207,Community transmission
Mexico,Americas,1771740,13741.58,122238,8521,150273,1165.51,9025,659,Community transmission
Poland,Europe,1489512,39356.55,38765,6790,36054,952.63,1913,389,Community transmission
South Africa,Africa,1423578,24002.86,66862,6041,41797,704.74,3509,680,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1385706,16497.88,43572,6420,57560,685.3,587,79,Community transmission
Ukraine,Europe,1200883,27458.95,28845,3776,22202,507.66,944,145,Community transmission
Peru,Americas,1102795,33446.56,33993,3782,39887,1209.73,956,110,Community transmission
Indonesia,South-East Asia,1012350,3701.14,84970,13094,28468,104.08,1878,336,Community transmission
Netherlands,Europe,956867,55843.25,35635,3997,13664,797.44,512,87,Community transmission
Czechia,Europe,956155,89285.34,47024,9209,15791,1474.56,971,173,Community transmission
Canada,Americas,753011,19951.46,37939,5628,19238,509.72,1118,144,Community transmission
Romania,Europe,715438,37189.39,17540,2877,17938,932.44,569,97,Community transmission
Chile,Americas,706500,36958.18,29349,3322,18023,942.81,450,24,Community transmission
Belgium,Europe,696642,60109.12,10898,0,20879,1801.53,283,0,Community transmission
Portugal,Europe,653878,64126.38,86920,10765,11012,1079.96,1766,291,Clusters of cases
Iraq,Eastern Mediterranean,615380,15299.4,5528,804,13010,323.45,48,10,Community transmission
Israel,Europe,608104,70256.08,47490,8714,4487,518.4,368,55,Community transmission
Sweden,Europe,556289,55082.13,23035,1881,11247,1113.65,89,6,Community transmission
Pakistan,Eastern Mediterranean,535914,2426.13,12903,1873,11376,51.5,321,58,Community transmission
Bangladesh,South-East Asia,532916,3235.89,3885,515,8055,48.91,113,14,Community transmission
Philippines,Western Pacific,516166,4710.36,12082,1170,10386,94.78,408,94,Community transmission
Switzerland,Europe,512958,59269.83,13237,1881,8441,975.32,319,57,Community transmission
Morocco,Eastern Mediterranean,467493,12665.56,6103,867,8187,221.81,176,15,Clusters of cases
Austria,Europe,403923,44848.45,10479,1445,7462,828.52,335,46,Community transmission
Serbia,Europe,387206,55602.98,11407,2080,3924,563.49,133,19,Community transmission
Japan,Western Pacific,371680,2938.73,31906,3537,5252,41.53,605,94,Clusters of cases
Saudi Arabia,Eastern Mediterranean,366807,10536.23,1482,223,6359,182.66,24,4,Sporadic cases
Hungary,Europe,361881,37460.44,7629,1004,12198,1262.69,583,85,Community transmission
Jordan,Eastern Mediterranean,322241,31582.55,5814,943,4248,416.34,78,9,Community transmission
Panama,Americas,312158,72346.43,12797,914,5098,1181.52,270,35,Community transmission
Lebanon,Eastern Mediterranean,285754,41865.99,25439,3505,2477,362.91,457,83,Community transmission
United Arab Emirates,Eastern Mediterranean,285147,28830.68,24924,3601,805,81.39,49,7,Community transmission
Nepal,South-East Asia,270092,9269.79,2100,303,2017,69.23,48,6,Clusters of cases
Georgia,Europe,255564,64064.5,5630,742,3108,779.11,121,12,Community transmission
Ecuador,Americas,242146,13724.72,9578,579,14668,831.38,286,29,Community transmission
Slovakia,Europe,241392,44213.89,12614,2775,4361,798.77,624,101,Clusters of cases
Belarus,Europe,239482,25343.83,10766,847,1668,176.52,67,10,Community transmission
Croatia,Europe,230359,56113.04,3809,857,4913,1196.76,202,31,Community transmission
Azerbaijan,Europe,229358,22620.97,1662,326,3100,305.74,68,7,Clusters of cases
Kazakhstan,Europe,227165,12098.23,7638,0,3035,161.64,79,0,Clusters of cases
Bulgaria,Europe,216416,31145.96,3489,827,8916,1283.16,302,36,Clusters of cases
Dominican Republic,Americas,206305,19017.95,9714,1143,2564,236.36,103,19,Community transmission
Bolivia (Plurinational State of),Americas,202818,17374.94,14085,1781,10051,861.05,371,66,Community transmission
Tunisia,Eastern Mediterranean,200662,16978.46,16179,2026,6370,538.98,526,83,Community transmission
Denmark,Europe,195948,33829.62,5329,652,2030,350.47,193,20,Community transmission
Costa Rica,Americas,190745,37444.17,4729,355,2558,502.15,100,15,Community transmission
Malaysia,Western Pacific,190434,5883.77,25063,3585,700,21.63,81,11,Clusters of cases
Ireland,Europe,189851,38448.61,13012,928,3066,620.93,358,89,Community transmission
Lithuania,Europe,179212,65831.36,7152,1278,2716,997.69,202,28,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,176076,34515.14,3677,660,1977,387.54,69,10,Community transmission
Armenia,Europe,166427,56163.8,1206,195,3056,1031.3,40,4,Community transmission
Egypt,Eastern Mediterranean,163129,1594.08,4955,643,9067,88.6,371,55,Clusters of cases
Kuwait,Eastern Mediterranean,162282,38000.07,3460,505,957,224.09,7,3,Community transmission
Slovenia,Europe,161684,77772.4,10547,3545,3632,1747.05,239,51,Clusters of cases
Republic of Moldova,Europe,156972,38912.6,3466,546,3381,838.13,99,13,Community transmission
Guatemala,Americas,155459,8677.31,5182,1029,5486,306.21,173,17,Community transmission
Greece,Europe,153226,14700.68,3764,814,5692,546.1,174,21,Community transmission
Qatar,Eastern Mediterranean,149595,51923.72,1866,299,248,86.08,0,0,Community transmission
Honduras,Americas,141984,14335.15,7046,1055,3462,349.53,94,15,Community transmission
Myanmar,South-East Asia,138368,2543.07,3125,411,3082,56.64,96,13,Clusters of cases
Ethiopia,Africa,134569,1170.54,2842,437,2075,18.05,38,4,Community transmission
Oman,Eastern Mediterranean,133407,26124.29,1261,154,1524,298.44,8,2,Community transmission
Paraguay,Americas,128366,17997.24,5778,714,2632,369.01,114,15,Community transmission
Nigeria,Africa,124299,602.98,10994,1303,1522,7.38,58,15,Community transmission
Venezuela (Bolivarian Republic of),Americas,124112,4364.62,3668,403,1154,40.58,42,6,Community transmission
Bosnia and Herzegovina,Europe,120532,36738.39,2149,389,4621,1408.49,112,28,Community transmission
Libya,Eastern Mediterranean,115299,16779.81,4834,869,1789,260.36,89,7,Community transmission
Algeria,Africa,106097,2419.49,1756,243,2871,65.47,23,5,Community transmission
Bahrain,Eastern Mediterranean,100689,59174.0,2429,459,370,217.45,8,1,Clusters of cases
China,Western Pacific,100431,68.26,1240,140,4816,3.27,9,2,Clusters of cases
Kenya,Africa,100193,1863.32,885,141,1750,32.55,16,6,Community transmission
Puerto Rico,Americas,92069,32182.36,3696,473,1783,623.24,80,5,Community transmission
North Macedonia,Europe,91161,43756.3,1769,444,2812,1349.73,86,21,Community transmission
Kyrgyzstan,Europe,84175,12901.97,745,107,1405,215.35,13,3,Clusters of cases
Uzbekistan,Europe,78510,2345.74,347,39,621,18.55,1,0,Clusters of cases
Republic of Korea,Western Pacific,76429,1490.74,2914,559,1378,26.88,78,7,Clusters of cases
Albania,Europe,73691,25606.74,5123,879,1332,462.85,45,8,Clusters of cases
Ghana,Africa,62135,1999.65,3704,0,372,11.97,14,0,Community transmission
Latvia,Europe,61924,32830.06,5204,693,1126,596.97,114,12,Community transmission
Norway,Europe,61314,11309.96,2281,232,550,101.45,25,2,Community transmission
Sri Lanka,South-East Asia,59922,2798.36,5503,755,288,13.45,15,5,Clusters of cases
Singapore,Western Pacific,59366,10147.44,209,14,29,4.96,0,0,Sporadic cases
Montenegro,Europe,59345,94488.48,2367,0,777,1237.13,19,0,Clusters of cases
Kosovo[1],Europe,58647,31524.19,2275,288,1461,785.32,51,5,Community transmission
Afghanistan,Eastern Mediterranean,54854,1409.1,576,104,2389,61.37,35,0,Clusters of cases
El Salvador,Americas,53479,8245.04,2042,0,1583,244.06,74,11,Community transmission
Luxembourg,Europe,49852,79638.58,886,119,570,910.58,10,4,Community transmission
Zambia,Africa,47622,2590.41,8107,1476,672,36.55,94,12,Community transmission
Finland,Europe,43120,7782.38,2398,348,655,118.22,22,0,Community transmission
Estonia,Europe,41966,31635.8,3422,636,398,300.03,49,6,Clusters of cases
Uganda,Africa,39261,858.33,727,73,318,6.95,13,0,Community transmission
Uruguay,Americas,38041,10951.05,5178,408,390,112.27,71,14,Community transmission
Mozambique,Africa,34055,1089.57,5785,1274,329,10.53,76,10,Community transmission
Namibia,Africa,32957,12970.58,1962,307,328,129.09,32,9,Community transmission
Zimbabwe,Africa,32004,2153.28,3329,358,1103,74.21,278,28,Community transmission
Cyprus,Europe,30252,25056.34,958,109,190,157.37,14,2,Clusters of cases
Cameroon,Africa,29617,1115.69,1607,0,462,17.4,7,0,Community transmission
Sudan,Eastern Mediterranean,28994,661.22,472,0,1750,39.91,28,0,Community transmission
Australia,Western Pacific,28780,1128.63,50,3,909,35.65,0,0,Clusters of cases
Côte d’Ivoire,Africa,27237,1032.55,1854,387,147,5.57,5,1,Community transmission
