WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,78194947.0,10016.88894994388,4585707.0,655041.0,1736752.0,222.4805129363785,79481.0,11654.0,
United States of America,Americas,18311405.0,55321.02,1628756.0,221145.0,323527.0,977.42,18567.0,3347.0,Community transmission
India,South-East Asia,10146845.0,7352.76,167398.0,23067.0,147092.0,106.59,2303.0,336.0,Clusters of cases
Brazil,Americas,7365517.0,34651.57,324909.0,46696.0,189220.0,890.2,5485.0,961.0,Community transmission
Russian Federation,Europe,2992706.0,20507.19,201486.0,29018.0,53659.0,367.69,3897.0,563.0,Clusters of cases
France,Europe,2484875.0,38068.66,99202.0,21496.0,61892.0,948.19,2647.0,290.0,Community transmission
The United Kingdom,Europe,2188591.0,32239.2,239927.0,39036.0,69625.0,1025.62,3573.0,574.0,Community transmission
Italy,Europe,2009317.0,33232.82,102940.0,18039.0,70900.0,1172.64,3680.0,505.0,Clusters of cases
Spain,Europe,1854951.0,39674.04,58114.0,6581.0,49824.0,1065.65,632.0,26.0,Community transmission
Germany,Europe,1612648.0,19247.7,172710.0,25533.0,29182.0,348.3,4244.0,412.0,Clusters of cases
Argentina,Americas,1563865.0,34602.02,46819.0,8586.0,42314.0,936.24,949.0,60.0,Community transmission
Colombia,Americas,1544826.0,30360.42,88227.0,14233.0,41173.0,809.17,1613.0,242.0,Community transmission
Mexico,Americas,1350079.0,10471.19,72580.0,11653.0,120311.0,933.13,4542.0,816.0,Community transmission
Turkey,Europe,1286374.0,15252.41,145032.0,18102.0,19115.0,226.64,1751.0,254.0,Community transmission
Poland,Europe,1249079.0,33003.72,66215.0,9081.0,26992.0,713.19,2221.0,240.0,Community transmission
