WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,65870030,8438.048760867781,3968066,605211,1523583,195.1732471539669,73323,10264,
United States of America,Americas,14191298,42873.67,1251632,213127,276503,835.35,13767,2426,Community transmission
India,South-East Asia,9644222,6988.54,251303,36011,140182,101.58,3486,482,Clusters of cases
Brazil,Americas,6533968,30739.49,295618,46884,175964,827.83,3990,694,Community transmission
Russian Federation,Europe,2460770,16862.16,191454,29039,43141,295.62,3614,457,Clusters of cases
France,Europe,2241830,34345.17,72019,12850,54618,836.76,2851,214,Community transmission
Italy,Europe,1709991,28282.16,145459,21052,59514,984.32,5151,662,Clusters of cases
The United Kingdom,Europe,1705975,25129.99,100799,15539,61014,898.77,2984,397,Community transmission
Spain,Europe,1684647,36031.55,35761,0,46252,989.25,767,0,Community transmission
Argentina,Americas,1454631,32185.11,47354,6899,39512,874.24,1296,207,Community transmission
Colombia,Americas,1352607,26582.75,62097,9285,37467,736.34,1253,162,Community transmission
Germany,Europe,1171322,13980.27,128622,17767,18772,224.05,2649,255,Clusters of cases
Mexico,Americas,1156770,8971.89,66095,12127,108863,844.34,3990,690,Community transmission
Poland,Europe,1054273,27856.47,80680,12427,19861,524.78,3115,502,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1028986,12250.86,93187,12151,50016,595.48,2530,321,Community transmission
Peru,Americas,970860,29445.11,12536,2014,36195,1097.75,356,91,Community transmission
Ukraine,Europe,813306,18596.75,90627,11590,13588,310.7,1375,167,Community transmission
South Africa,Africa,810449,13664.93,25310,4645,22067,372.07,628,104,Community transmission
Belgium,Europe,589942,50902.6,12567,2,17254,1488.75,622,8,Community transmission
Indonesia,South-East Asia,569707,2082.84,41708,6027,17589,64.31,943,110,Community transmission
