WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,97464094,12485.29532483591,4102529,577301,2112689,270.6386014785327,95921,13688,
United States of America,Americas,24604325,74332.71,1259902,190994,410667,1240.68,21583,3885,Community transmission
India,South-East Asia,10654533,7720.65,96548,14849,153339,111.11,1065,155,Clusters of cases
Brazil,Americas,8753920,41183.4,360428,56552,215243,1012.63,6997,1096,Community transmission
Russian Federation,Europe,3719400,25486.78,151191,21127,69462,475.98,3896,491,Clusters of cases
The United Kingdom,Europe,3617463,53287.31,260098,33552,97329,1433.71,8739,1348,Community transmission
France,Europe,2985259,45734.62,138288,23522,72484,1110.47,2731,229,Community transmission
Spain,Europe,2456675,52543.83,109000,0,55041,1177.23,854,0,Community transmission
Italy,Europe,2455185,40607.19,86452,13331,85162,1408.53,3362,488,Clusters of cases
Germany,Europe,2134936,25481.45,101418,12257,51870,619.09,5451,349,Community transmission
Colombia,Americas,1987418,39058.67,117239,15073,50586,994.17,2718,399,Community transmission
Argentina,Americas,1853830,41017.77,70783,10753,46575,1030.52,1348,220,Community transmission
Mexico,Americas,1732290,13435.61,122555,21007,147614,1144.89,8592,1440,Community transmission
Turkey,Europe,1609990,19089.49,43663,5856,24933,295.63,1101,144,Community transmission
Poland,Europe,1475445,38984.86,39863,4566,35363,934.38,2008,110,Community transmission
South Africa,Africa,1404839,23686.9,79180,12271,40574,684.12,3723,498,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1367032,16275.56,42637,6207,57294,682.13,577,69,Community transmission
Ukraine,Europe,1191812,27251.53,31130,3915,21861,499.87,1059,83,Community transmission
Peru,Americas,1088096,33000.75,32073,5189,39427,1195.78,773,153,Community transmission
Indonesia,South-East Asia,977474,3573.64,80832,12191,27664,101.14,1897,211,Community transmission
Netherlands,Europe,944042,55094.78,37381,5487,13510,788.45,564,89,Community transmission
Czechia,Europe,937617,87554.27,48458,4256,15369,1435.15,1031,99,Community transmission
Canada,Americas,737407,19538.02,41700,5957,18828,498.86,1099,206,Community transmission
Romania,Europe,709194,36864.82,17706,2719,17722,921.21,558,94,Community transmission
Chile,Americas,694647,36338.13,29154,4581,17854,933.97,419,68,Community transmission
Belgium,Europe,691854,59695.99,12341,0,20726,1788.32,295,0,Community transmission
Portugal,Europe,624469,61242.21,85053,15333,10194,999.73,1485,274,Clusters of cases
Iraq,Eastern Mediterranean,612870,15237.0,5283,778,12988,322.9,53,4,Community transmission
Israel,Europe,569152,65755.84,29421,0,4158,480.39,218,0,Community transmission
Sweden,Europe,547166,54178.79,19437,0,11005,1089.68,105,0,Community transmission
Bangladesh,South-East Asia,531326,3226.23,4263,436,8003,48.59,120,22,Community transmission
Pakistan,Eastern Mediterranean,530818,2403.06,14048,1927,11247,50.92,339,43,Community transmission
