WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,71581532,9169.700657394837,4333032,496156,1618374,207.3161151637647,75666,8443,
United States of America,Americas,16041095,48462.13,1470572,180420,296840,896.79,16927,1434,Community transmission
India,South-East Asia,9906165,7178.36,202395,22065,143709,104.14,2751,354,Clusters of cases
Brazil,Americas,6901952,32470.7,298412,21825,181402,853.42,4461,279,Community transmission
Russian Federation,Europe,2707945,18555.9,192936,26689,47968,328.7,3809,577,Clusters of cases
France,Europe,2338726,35829.63,82771,2590,57910,887.19,2752,368,Community transmission
The United Kingdom,Europe,1869670,27541.31,131706,20263,64402,948.68,2968,232,Community transmission
Italy,Europe,1855737,30692.71,113180,12025,65011,1075.24,4405,491,Clusters of cases
Spain,Europe,1751884,37469.63,40748,2355,48013,1026.91,644,24,Community transmission
Argentina,Americas,1498160,33148.23,35050,3558,40766,901.99,996,98,Community transmission
Colombia,Americas,1425774,28020.7,54671,8702,39053,767.51,1245,187,Community transmission
Germany,Europe,1351510,16130.9,153801,14432,22475,268.25,3133,500,Clusters of cases
Mexico,Americas,1250044,9695.32,74194,8608,113953,883.82,4236,249,Community transmission
Poland,Europe,1147446,30318.33,79576,11770,23309,615.88,3128,445,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1115770,13284.09,64396,7501,52447,624.42,1853,251,Community transmission
Turkey,Europe,1052007,12473.54,213112,29617,16646,197.37,1543,229,Community transmission
Peru,Americas,984973,29873.15,11061,1928,36677,1112.37,403,68,Community transmission
Ukraine,Europe,909082,20786.73,76324,8416,15480,353.96,1552,233,Community transmission
South Africa,Africa,866127,14603.71,48249,5163,23451,395.41,1202,175,Community transmission
Indonesia,South-East Asia,623309,2278.81,41759,5489,18956,69.3,1089,137,Community transmission
Netherlands,Europe,621560,36274.56,57952,8496,10074,587.92,383,35,Community transmission
Belgium,Europe,609211,52565.21,12710,3,18054,1557.77,510,15,Community transmission
Czechia,Europe,586251,54743.86,35181,5172,9743,909.8,707,134,Community transmission
Iraq,Eastern Mediterranean,575972,14319.65,9957,1338,12603,313.33,143,24,Community transmission
Chile,Americas,573830,30017.99,11688,1911,15931,833.38,268,45,Community transmission
Romania,Europe,559587,29088.05,42351,3252,13494,701.44,1047,109,Community transmission
Bangladesh,South-East Asia,492332,2989.46,12589,1799,7089,43.04,215,37,Community transmission
Canada,Americas,460743,12207.65,45561,5891,13431,355.86,766,81,Community transmission
Philippines,Western Pacific,450733,4113.24,9334,1333,8757,79.91,185,24,Community transmission
Pakistan,Eastern Mediterranean,440787,1995.48,20493,2362,8832,39.98,434,36,Clusters of cases
Morocco,Eastern Mediterranean,400826,10859.39,19638,1217,6659,180.41,339,35,Clusters of cases
Switzerland,Europe,382953,44248.38,30078,3541,5572,643.82,565,65,Community transmission
Saudi Arabia,Eastern Mediterranean,360013,10341.08,1091,125,6059,174.04,82,11,Sporadic cases
Israel,Europe,357627,41317.72,12317,1712,3002,346.83,80,8,Community transmission
Portugal,Europe,350938,34416.79,25867,2194,5649,554.0,608,90,Clusters of cases
Austria,Europe,322557,35814.21,19400,2521,4510,500.76,683,110,Community transmission
Sweden,Europe,320098,31695.18,25680,0,7514,744.01,65,0,Community transmission
Hungary,Europe,285763,29581.02,29396,1893,7237,749.14,1117,107,Community transmission
Serbia,Europe,271364,38968.01,45155,4932,2380,341.77,375,49,Community transmission
Jordan,Eastern Mediterranean,262477,25725.14,18408,2863,3407,333.92,291,42,Community transmission
Nepal,South-East Asia,249244,8554.27,7249,821,1716,58.89,102,18,Clusters of cases
Ecuador,Americas,202180,11459.47,3936,70,13875,786.43,95,0,Community transmission
Georgia,Europe,194900,48857.32,25251,3837,1883,472.03,307,44,Community transmission
Panama,Americas,193007,44731.73,15288,2422,3356,777.79,163,25,Community transmission
Kazakhstan,Europe,186277,9920.64,4556,0,2609,138.95,67,0,Clusters of cases
United Arab Emirates,Eastern Mediterranean,186041,18810.26,8464,1092,618,62.48,24,1,Community transmission
Japan,Western Pacific,181870,1437.98,17941,2217,2643,20.9,261,58,Clusters of cases
Bulgaria,Europe,181544,26127.28,17359,2095,5838,840.19,828,150,Clusters of cases
Azerbaijan,Europe,178986,17652.91,29221,3112,1966,193.9,291,44,Clusters of cases
Croatia,Europe,177358,43202.55,25119,1472,2705,658.91,472,65,Community transmission
Belarus,Europe,162148,17159.75,13195,1853,1273,134.72,58,10,Community transmission
Dominican Republic,Americas,155184,14305.43,6046,492,2364,217.92,18,3,Community transmission
Costa Rica,Americas,150947,29631.63,5102,0,1895,372.0,85,0,Community transmission
Armenia,Europe,149120,50323.24,6192,438,2529,853.46,157,26,Community transmission
Lebanon,Eastern Mediterranean,147613,21626.87,9517,1093,1210,177.28,95,10,Community transmission
Bolivia (Plurinational State of),Americas,147150,12605.99,1590,120,9018,772.55,23,4,Community transmission
Kuwait,Eastern Mediterranean,146449,34292.6,1850,231,912,213.55,15,1,Community transmission
Qatar,Eastern Mediterranean,141121,48982.44,1035,160,241,83.65,2,1,Community transmission
Slovakia,Europe,135523,24822.69,15676,2034,1251,229.14,213,46,Clusters of cases
Guatemala,Americas,129405,7223.05,3731,123,4445,248.11,171,22,Community transmission
Republic of Moldova,Europe,127253,31545.41,9758,735,2598,644.03,160,26,Community transmission
Oman,Eastern Mediterranean,126504,24772.52,1389,264,1472,288.25,20,1,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,126205,24739.22,12450,1564,1107,217.0,165,28,Community transmission
Greece,Europe,125173,12009.24,8452,639,3687,353.74,595,62,Community transmission
Egypt,Eastern Mediterranean,122086,1193.01,3239,511,6943,67.85,153,23,Clusters of cases
Ethiopia,Africa,117242,1019.82,3507,473,1809,15.74,54,3,Community transmission
Honduras,Americas,114359,11546.04,3336,316,2975,300.37,29,1,Community transmission
Denmark,Europe,113095,19525.39,20446,3337,950,164.01,56,9,Community transmission
Tunisia,Eastern Mediterranean,111361,9422.51,7032,0,3894,329.48,298,0,Community transmission
