WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,91061072.0,11665.05868834266,5048465.0,697485.0,1970741.0,252.4548516683737,93011.0,15835.0,
United States of America,Americas,22645757.0,68415.64,1774844.0,217166.0,377446.0,1140.31,23160.0,4117.0,Community transmission
India,South-East Asia,10512093.0,7617.43,116815.0,16946.0,151727.0,109.95,1391.0,198.0,Clusters of cases
Brazil,Americas,8195637.0,38556.92,385237.0,64025.0,204690.0,962.98,6958.0,1110.0,Community transmission
Russian Federation,Europe,3495816.0,23954.7,163674.0,24763.0,63940.0,438.14,3483.0,570.0,Clusters of cases
The United Kingdom,Europe,3211580.0,47308.42,374775.0,47525.0,84767.0,1248.67,7421.0,1564.0,Community transmission
France,Europe,2783908.0,42649.89,123168.0,23649.0,68648.0,1051.7,2464.0,229.0,Community transmission
Italy,Europe,2319036.0,38355.37,117091.0,15773.0,80326.0,1328.54,3449.0,507.0,Clusters of cases
Spain,Europe,2176089.0,46542.6,127209.0,16033.0,52878.0,1130.96,735.0,40.0,Community transmission
Germany,Europe,1978590.0,23615.38,143552.0,25164.0,43881.0,523.74,6274.0,1244.0,Community transmission
Colombia,Americas,1816082.0,35691.41,113116.0,14179.0,46782.0,919.41,2354.0,331.0,Community transmission
Argentina,Americas,1744704.0,38603.26,81974.0,13783.0,44848.0,992.31,1063.0,194.0,Community transmission
Mexico,Americas,1556028.0,12068.52,89538.0,14395.0,135682.0,1052.35,6860.0,1314.0,Community transmission
Turkey,Europe,1541501.0,18277.43,71908.0,9554.0,23325.0,276.56,1255.0,173.0,Community transmission
Poland,Europe,1414362.0,37370.9,57480.0,9457.0,32456.0,857.57,2215.0,382.0,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1305339.0,15541.05,43436.0,6317.0,56457.0,672.16,627.0,97.0,Community transmission
South Africa,Africa,1278303.0,21553.38,128712.0,18555.0,35140.0,592.49,3772.0,806.0,Community transmission
Ukraine,Europe,1138764.0,26038.56,39271.0,7925.0,20376.0,465.91,871.0,162.0,Community transmission
Peru,Americas,1040231.0,31549.06,18213.0,2881.0,38339.0,1162.78,414.0,4.0,Community transmission
Netherlands,Europe,889221.0,51895.4,48397.0,6148.0,12685.0,740.3,690.0,122.0,Community transmission
Czechia,Europe,866522.0,80915.45,71782.0,10922.0,13856.0,1293.87,1235.0,200.0,Community transmission
Indonesia,South-East Asia,858043.0,3137.0,69641.0,11278.0,24951.0,91.22,1655.0,306.0,Community transmission
Romania,Europe,681392.0,35419.64,27385.0,4424.0,16969.0,882.07,670.0,88.0,Community transmission
Canada,Americas,674473.0,17870.55,55827.0,6292.0,17233.0,456.6,1000.0,147.0,Community transmission
Belgium,Europe,670249.0,57831.82,10159.0,0.0,20250.0,1747.25,295.0,0.0,Community transmission
Chile,Americas,652525.0,34134.66,27042.0,3390.0,17204.0,899.97,388.0,22.0,Community transmission
Iraq,Eastern Mediterranean,605416.0,15051.68,5451.0,867.0,12915.0,321.09,50.0,4.0,Community transmission
Bangladesh,South-East Asia,524910.0,3187.27,6012.0,890.0,7833.0,47.56,146.0,14.0,Community transmission
Sweden,Europe,512203.0,50716.86,34947.0,5346.0,9834.0,973.73,134.0,5.0,Community transmission
Pakistan,Eastern Mediterranean,508824.0,2303.49,16230.0,2123.0,10772.0,48.77,311.0,55.0,Clusters of cases
Portugal,Europe,507108.0,49732.52,60502.0,10556.0,8236.0,807.71,859.0,156.0,Clusters of cases
Israel,Europe,493501.0,57015.66,35780.0,0.0,3687.0,425.97,184.0,0.0,Community transmission
Philippines,Western Pacific,492700.0,4496.21,11963.0,1442.0,9699.0,88.51,352.0,145.0,Community transmission
Switzerland,Europe,484930.0,56031.33,16503.0,0.0,7753.0,895.82,353.0,0.0,Community transmission
Morocco,Eastern Mediterranean,455055.0,12328.59,7974.0,1266.0,7810.0,211.59,192.0,26.0,Clusters of cases
Austria,Europe,385009.0,42748.39,13352.0,2246.0,6826.0,757.91,372.0,44.0,Community transmission
Serbia,Europe,366191.0,52585.21,14071.0,2267.0,3664.0,526.15,220.0,25.0,Community transmission
Saudi Arabia,Eastern Mediterranean,364271.0,10463.39,894.0,175.0,6304.0,181.08,32.0,4.0,Sporadic cases
Hungary,Europe,347636.0,35985.86,12800.0,1926.0,11066.0,1145.51,741.0,118.0,Community transmission
Jordan,Eastern Mediterranean,310968.0,30477.69,8112.0,1122.0,4091.0,400.96,136.0,15.0,Community transmission
Japan,Western Pacific,302623.0,2392.72,44230.0,5308.0,4233.0,33.47,442.0,88.0,Clusters of cases
Panama,Americas,285093.0,66073.79,25323.0,3740.0,4561.0,1057.07,323.0,61.0,Community transmission
Nepal,South-East Asia,266143.0,9134.25,2950.0,445.0,1937.0,66.48,38.0,5.0,Clusters of cases
Georgia,Europe,244612.0,61319.07,9121.0,1357.0,2867.0,718.7,173.0,21.0,Community transmission
United Arab Emirates,Eastern Mediterranean,239587.0,24224.19,20821.0,3362.0,723.0,73.1,34.0,6.0,Community transmission
Lebanon,Eastern Mediterranean,231936.0,33981.08,32011.0,4988.0,1740.0,254.93,203.0,35.0,Community transmission
Azerbaijan,Europe,225820.0,22272.02,3620.0,474.0,2957.0,291.64,139.0,16.0,Clusters of cases
Ecuador,Americas,224315.0,12714.07,6938.0,1748.0,14229.0,806.49,83.0,33.0,Community transmission
Croatia,Europe,223097.0,54344.09,6249.0,980.0,4517.0,1100.29,251.0,45.0,Community transmission
Slovakia,Europe,217978.0,39925.33,19794.0,2923.0,3260.0,597.11,543.0,97.0,Clusters of cases
Belarus,Europe,217696.0,23038.26,12738.0,1972.0,1544.0,163.4,64.0,9.0,Community transmission
Kazakhstan,Europe,211901.0,11285.31,5061.0,925.0,2885.0,153.65,40.0,0.0,Clusters of cases
Bulgaria,Europe,210416.0,30282.46,4024.0,535.0,8349.0,1201.56,388.0,70.0,Clusters of cases
Dominican Republic,Americas,186383.0,17181.47,10005.0,1595.0,2428.0,223.82,9.0,1.0,Community transmission
Denmark,Europe,185159.0,31966.94,10164.0,1358.0,1660.0,286.59,210.0,37.0,Community transmission
Costa Rica,Americas,181093.0,35549.43,7502.0,1032.0,2367.0,464.65,119.0,14.0,Community transmission
Bolivia (Plurinational State of),Americas,176761.0,15142.7,11493.0,1473.0,9454.0,809.9,213.0,39.0,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,168652.0,33059.85,6330.0,978.0,1814.0,355.59,151.0,30.0,Community transmission
Tunisia,Eastern Mediterranean,168568.0,14262.92,18687.0,3632.0,5415.0,458.18,411.0,72.0,Community transmission
Lithuania,Europe,164414.0,60395.5,9866.0,1372.0,2346.0,861.77,254.0,29.0,Community transmission
Armenia,Europe,163576.0,55201.68,2522.0,448.0,2963.0,999.92,62.0,12.0,Community transmission
Ireland,Europe,159144.0,32229.83,37990.0,3553.0,2460.0,498.2,161.0,63.0,Community transmission
Kuwait,Eastern Mediterranean,155874.0,36499.57,3436.0,539.0,946.0,221.52,8.0,0.0,Community transmission
Egypt,Eastern Mediterranean,152719.0,1492.35,7129.0,996.0,8362.0,81.71,387.0,58.0,Clusters of cases
Republic of Moldova,Europe,150946.0,37418.79,3075.0,808.0,3193.0,791.53,105.0,17.0,Community transmission
Greece,Europe,146688.0,14073.42,4421.0,668.0,5354.0,513.67,255.0,25.0,Community transmission
Qatar,Eastern Mediterranean,146480.0,50842.52,1419.0,201.0,246.0,85.39,1.0,0.0,Community transmission
Guatemala,Americas,145986.0,8148.56,5784.0,982.0,5117.0,285.62,218.0,0.0,Community transmission
Malaysia,Western Pacific,144518.0,4465.12,19080.0,2985.0,563.0,17.39,50.0,4.0,Clusters of cases
Slovenia,Europe,143705.0,69124.24,11918.0,2118.0,3202.0,1540.21,232.0,31.0,Clusters of cases
Myanmar,South-East Asia,132260.0,2430.81,4082.0,523.0,2902.0,53.34,117.0,24.0,Clusters of cases
Oman,Eastern Mediterranean,131086.0,25669.79,1198.0,142.0,1508.0,295.3,4.0,0.0,Community transmission
Honduras,Americas,129805.0,13105.52,5983.0,1104.0,3294.0,332.57,108.0,9.0,Community transmission
Ethiopia,Africa,129445.0,1125.97,2659.0,453.0,2006.0,17.45,41.0,2.0,Community transmission
