WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,84474195.0,10821.26995304319,4260608.0,541811.0,1848704.0,236.8217305565416,76426.0,8696.0,
United States of America,Americas,20470169.0,61842.92,1497356.0,211444.0,348962.0,1054.26,18318.0,1407.0,Community transmission
India,South-East Asia,10356844.0,7504.94,132541.0,16375.0,149850.0,108.59,1697.0,201.0,Clusters of cases
Brazil,Americas,7733746.0,36383.93,249461.0,17341.0,196018.0,922.18,4879.0,293.0,Community transmission
Russian Federation,Europe,3284384.0,22505.88,179347.0,24246.0,59506.0,407.76,3679.0,518.0,Clusters of cases
The United Kingdom,Europe,2713567.0,39972.4,383833.0,58784.0,75431.0,1111.14,4322.0,407.0,Community transmission
France,Europe,2615185.0,40065.03,96080.0,3569.0,65035.0,996.35,2303.0,376.0,Community transmission
Italy,Europe,2166244.0,35828.29,109967.0,10798.0,75680.0,1251.7,3310.0,348.0,Clusters of cases
Spain,Europe,1893502.0,40498.58,7717.0,0.0,50442.0,1078.86,36.0,0.0,Community transmission
Germany,Europe,1787410.0,21333.56,122684.0,11897.0,35518.0,423.92,4540.0,944.0,Clusters of cases
Colombia,Americas,1675820.0,32934.84,81323.0,9412.0,43965.0,864.04,1794.0,200.0,Community transmission
Argentina,Americas,1640718.0,36302.46,56791.0,5884.0,43482.0,962.08,832.0,107.0,Community transmission
Mexico,Americas,1448755.0,11236.52,65321.0,5211.0,127213.0,986.66,4787.0,362.0,Community transmission
Turkey,Europe,1441269.0,17088.98,92832.0,13695.0,21685.0,257.12,1550.0,197.0,Community transmission
Poland,Europe,1330543.0,35156.2,61909.0,7596.0,29502.0,779.51,2048.0,341.0,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1249507.0,14876.33,43134.0,6073.0,55650.0,662.56,836.0,110.0,Community transmission
South Africa,Africa,1113349.0,18772.11,101478.0,12601.0,30011.0,506.01,2940.0,434.0,Community transmission
Ukraine,Europe,1083585.0,24776.85,46223.0,5334.0,19129.0,437.4,1048.0,202.0,Community transmission
Peru,Americas,1019475.0,30919.55,11818.0,1376.0,37830.0,1147.34,356.0,57.0,Community transmission
Netherlands,Europe,827726.0,48306.52,57527.0,6563.0,11675.0,681.36,638.0,63.0,Community transmission
Indonesia,South-East Asia,772103.0,2822.8,52884.0,6753.0,22911.0,83.76,1459.0,177.0,Community transmission
Czechia,Europe,759635.0,70934.39,74433.0,12921.0,12257.0,1144.55,955.0,187.0,Community transmission
Belgium,Europe,650887.0,56161.19,8035.0,2.0,19750.0,1704.11,367.0,8.0,Community transmission
Romania,Europe,643559.0,33453.03,25130.0,3130.0,16057.0,834.66,723.0,78.0,Community transmission
Chile,Americas,620641.0,32466.75,18613.0,2450.0,16767.0,877.11,324.0,0.0,Community transmission
Canada,Americas,601663.0,15941.41,48389.0,6578.0,15865.0,420.35,757.0,41.0,Community transmission
Iraq,Eastern Mediterranean,598369.0,14876.48,5841.0,595.0,12844.0,319.32,53.0,10.0,Community transmission
Bangladesh,South-East Asia,516929.0,3138.81,6849.0,910.0,7650.0,46.45,171.0,24.0,Community transmission
Pakistan,Eastern Mediterranean,488529.0,2211.62,15220.0,1895.0,10350.0,46.86,421.0,39.0,Clusters of cases
Philippines,Western Pacific,478761.0,4369.01,8111.0,954.0,9263.0,84.53,139.0,6.0,Community transmission
Switzerland,Europe,459660.0,53111.51,23468.0,2397.0,7238.0,836.32,487.0,48.0,Community transmission
Morocco,Eastern Mediterranean,443802.0,12023.71,10773.0,656.0,7538.0,204.22,266.0,53.0,Clusters of cases
Israel,Europe,441102.0,50961.84,38312.0,5199.0,3432.0,396.51,186.0,25.0,Community transmission
Sweden,Europe,437379.0,43308.0,15934.0,0.0,8727.0,864.12,23.0,0.0,Community transmission
Portugal,Europe,431623.0,42329.64,34957.0,4369.0,7196.0,705.72,519.0,78.0,Clusters of cases
Austria,Europe,366525.0,40696.07,15139.0,1951.0,6326.0,702.39,454.0,73.0,Community transmission
Saudi Arabia,Eastern Mediterranean,363155.0,10431.33,816.0,94.0,6256.0,179.7,60.0,10.0,Sporadic cases
Serbia,Europe,346585.0,49769.78,17966.0,2715.0,3364.0,483.07,291.0,39.0,Community transmission
Hungary,Europe,329721.0,34131.37,12150.0,870.0,10080.0,1043.44,788.0,103.0,Community transmission
Jordan,Eastern Mediterranean,299831.0,29386.17,10083.0,1623.0,3919.0,384.1,141.0,16.0,Community transmission
Nepal,South-East Asia,262262.0,9001.05,3422.0,403.0,1885.0,64.69,53.0,7.0,Clusters of cases
Panama,Americas,253736.0,58806.42,22379.0,1972.0,4140.0,959.5,300.0,37.0,Community transmission
Japan,Western Pacific,247960.0,1960.52,24840.0,4113.0,3655.0,28.9,349.0,56.0,Clusters of cases
Georgia,Europe,232079.0,58177.31,7924.0,2316.0,2646.0,663.3,203.0,18.0,Community transmission
Azerbaijan,Europe,220599.0,21757.09,5116.0,334.0,2761.0,272.31,223.0,28.0,Clusters of cases
Ecuador,Americas,215080.0,12190.63,5322.0,466.0,14069.0,797.42,75.0,10.0,Community transmission
United Arab Emirates,Eastern Mediterranean,214732.0,21711.15,11869.0,1501.0,682.0,68.96,22.0,3.0,Community transmission
Croatia,Europe,214390.0,52223.16,7794.0,1071.0,4179.0,1017.96,384.0,53.0,Community transmission
Kazakhstan,Europe,204293.0,10880.13,4738.0,0.0,2845.0,151.52,96.0,0.0,Clusters of cases
Bulgaria,Europe,204080.0,29370.6,6027.0,1029.0,7835.0,1127.59,584.0,157.0,Clusters of cases
Belarus,Europe,201831.0,21359.31,13243.0,1869.0,1461.0,154.61,67.0,10.0,Community transmission
Lebanon,Eastern Mediterranean,192139.0,28150.4,19319.0,2861.0,1499.0,219.62,90.0,13.0,Community transmission
Slovakia,Europe,191088.0,35000.1,20901.0,2989.0,2603.0,476.77,620.0,82.0,Clusters of cases
Dominican Republic,Americas,173331.0,15978.29,5926.0,0.0,2418.0,222.9,14.0,0.0,Community transmission
Denmark,Europe,170787.0,29485.68,14961.0,2076.0,1389.0,239.81,185.0,15.0,Community transmission
Costa Rica,Americas,169321.0,33238.53,4117.0,0.0,2185.0,428.93,51.0,0.0,Community transmission
Bolivia (Plurinational State of),Americas,162661.0,13934.78,7818.0,606.0,9201.0,788.23,103.0,15.0,Community transmission
Armenia,Europe,160544.0,54178.48,2935.0,324.0,2878.0,971.23,86.0,14.0,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,160043.0,31372.28,8634.0,1009.0,1629.0,319.32,169.0,20.0,Community transmission
Kuwait,Eastern Mediterranean,151715.0,35525.69,1858.0,372.0,938.0,219.64,6.0,1.0,Community transmission
Lithuania,Europe,149497.0,54915.92,15212.0,1500.0,1704.0,625.94,357.0,50.0,Community transmission
Republic of Moldova,Europe,146309.0,36269.3,4385.0,436.0,3054.0,757.07,145.0,17.0,Community transmission
Tunisia,Eastern Mediterranean,144796.0,12251.52,11592.0,1252.0,4862.0,411.38,344.0,62.0,Community transmission
Qatar,Eastern Mediterranean,144644.0,50205.25,1422.0,207.0,245.0,85.04,1.0,0.0,Community transmission
Egypt,Eastern Mediterranean,143464.0,1401.91,9564.0,1277.0,7863.0,76.84,397.0,58.0,Clusters of cases
Greece,Europe,140526.0,13482.23,4595.0,427.0,5011.0,480.76,339.0,54.0,Community transmission
Guatemala,Americas,138656.0,7739.41,3215.0,181.0,4835.0,269.88,62.0,2.0,Community transmission
Oman,Eastern Mediterranean,129584.0,25375.66,1021.0,180.0,1502.0,294.13,7.0,1.0,Community transmission
Myanmar,South-East Asia,126935.0,2332.94,4401.0,590.0,2744.0,50.43,126.0,16.0,Clusters of cases
Ethiopia,Africa,125919.0,1095.29,2774.0,297.0,1950.0,16.96,38.0,2.0,Community transmission
Slovenia,Europe,125858.0,60539.56,10531.0,772.0,2891.0,1390.61,307.0,2.0,Clusters of cases
Honduras,Americas,123369.0,12455.72,3656.0,225.0,3180.0,321.06,114.0,7.0,Community transmission
Malaysia,Western Pacific,120818.0,3732.87,14128.0,1741.0,501.0,15.48,46.0,7.0,Clusters of cases
Venezuela (Bolivarian Republic of),Americas,114230.0,4017.1,1914.0,147.0,1034.0,36.36,20.0,2.0,Community transmission
Bosnia and Herzegovina,Europe,112828.0,34390.19,2917.0,183.0,4179.0,1273.77,203.0,48.0,Community transmission
Paraguay,Americas,109073.0,15292.31,4651.0,355.0,2292.0,321.34,104.0,13.0,Community transmission
Ireland,Europe,107997.0,21871.54,21103.0,6110.0,2265.0,458.71,60.0,6.0,Community transmission
