WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,67210778,8609.80057273178,4214834,494744,1540777,197.3758241133878,74276,7707,
United States of America,Americas,14570523,44019.35,1335972,173388,279913,845.65,15105,1107,Community transmission
India,South-East Asia,9703770,7031.7,240961,26567,140958,102.14,3337,385,Clusters of cases
Brazil,Americas,6603540,31066.8,288800,26363,176941,832.43,4108,313,Community transmission
Russian Federation,Europe,2515009,17233.83,192953,26097,44159,302.59,3695,562,Clusters of cases
France,Europe,2255955,34561.57,72680,3103,55158,845.03,2787,366,Community transmission
Italy,Europe,1742557,28820.78,141003,13679,60606,1002.38,5030,528,Clusters of cases
The United Kingdom,Europe,1737964,25601.21,108303,14718,61434,904.96,2986,189,Community transmission
Spain,Europe,1702328,36409.71,43028,1721,46646,997.67,757,30,Community transmission
Argentina,Americas,1463110,32372.72,44303,3278,39770,879.95,1297,138,Community transmission
Colombia,Americas,1371103,26946.25,62727,8854,37808,743.04,1224,175,Community transmission
Germany,Europe,1197709,14295.21,130236,14055,19342,230.86,2706,423,Clusters of cases
Mexico,Americas,1175850,9119.87,68779,7455,109717,850.96,4062,261,Community transmission
Poland,Europe,1067870,28215.74,77059,4421,20181,533.23,3031,92,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1051374,12517.41,89304,10827,50594,602.36,2348,284,Community transmission
Peru,Americas,973912,29537.68,11382,1224,36274,1100.15,351,43,Community transmission
Turkey,Europe,838895,9946.7,221585,32137,15103,179.07,1357,203,Community transmission
Ukraine,Europe,832758,19041.54,87635,10811,13928,318.47,1380,195,Community transmission
South Africa,Africa,817878,13790.19,27874,3313,22249,375.14,714,43,Community transmission
Belgium,Europe,592615,51133.24,11389,1,17386,1500.14,541,8,Community transmission
Indonesia,South-East Asia,581550,2126.14,42667,5754,17867,65.32,922,127,Community transmission
Iraq,Eastern Mediterranean,566015,14072.1,13466,1815,12460,309.78,202,28,Community transmission
Netherlands,Europe,563608,32892.45,40773,7055,9691,565.57,328,17,Community transmission
Chile,Americas,562142,29406.58,10399,1760,15663,819.36,253,35,Community transmission
Czechia,Europe,551070,51458.68,27772,4237,9036,843.78,741,134,Community transmission
Romania,Europe,517236,26886.59,41874,3660,12447,647.01,1116,127,Community transmission
Bangladesh,South-East Asia,479743,2913.02,14811,2198,6874,41.74,230,36,Community transmission
Philippines,Western Pacific,441399,4028.06,9769,1565,8572,78.23,180,18,Community transmission
Pakistan,Eastern Mediterranean,420294,1902.71,22270,3795,8398,38.02,373,37,Clusters of cases
Canada,Americas,415182,11000.49,44904,6261,12665,335.57,633,76,Community transmission
Morocco,Eastern Mediterranean,381188,10327.34,24853,1531,6320,171.22,474,75,Clusters of cases
Saudi Arabia,Eastern Mediterranean,358922,10309.74,1562,209,5977,171.68,81,12,Sporadic cases
Switzerland,Europe,352875,40773.01,27105,3258,5007,578.53,577,59,Community transmission
Israel,Europe,342929,39619.62,7010,0,2906,335.74,42,0,Community transmission
Portugal,Europe,325071,31879.99,27010,2597,5041,494.38,536,78,Clusters of cases
Austria,Europe,303157,33660.18,22627,2181,3827,424.92,844,95,Community transmission
Sweden,Europe,278912,27617.06,21321,0,7067,699.75,95,0,Community transmission
Hungary,Europe,256367,26538.06,35294,2219,6120,633.52,1143,136,Community transmission
Jordan,Eastern Mediterranean,244069,23920.98,24639,3980,3116,305.4,365,60,Community transmission
