WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,79673754.0,10206.32632493692,3917324.0,441861.0,1761381.0,225.6355244481603,70085.0,6807.0,
United States of America,Americas,18827300.0,56879.6,1312209.0,178311.0,329310.0,994.89,15562.0,1296.0,Community transmission
India,South-East Asia,10207871.0,7396.98,152311.0,20021.0,147901.0,107.17,2091.0,279.0,Clusters of cases
Brazil,Americas,7465806.0,35123.38,252651.0,17246.0,190795.0,897.61,4439.0,307.0,Community transmission
Russian Federation,Europe,3078035.0,21091.9,200308.0,27787.0,55265.0,378.7,3914.0,487.0,Clusters of cases
France,Europe,2516348.0,38550.83,85111.0,8816.0,62370.0,955.52,2196.0,173.0,Community transmission
The United Kingdom,Europe,2288349.0,33708.7,248198.0,32340.0,70752.0,1042.22,3351.0,347.0,Community transmission
Italy,Europe,2047696.0,33867.58,94511.0,8937.0,71925.0,1189.59,3126.0,305.0,Clusters of cases
Spain,Europe,1854951.0,39674.04,30110.0,0.0,49824.0,1065.65,297.0,0.0,Community transmission
Germany,Europe,1651834.0,19715.4,141182.0,10976.0,30126.0,359.57,3851.0,348.0,Clusters of cases
Colombia,Americas,1584903.0,31148.05,88841.0,10196.0,41943.0,824.3,1675.0,253.0,Community transmission
Argentina,Americas,1578267.0,34920.68,41098.0,3713.0,42501.0,940.38,738.0,79.0,Community transmission
Mexico,Americas,1377217.0,10681.67,63542.0,4974.0,122026.0,946.43,4150.0,189.0,Community transmission
Turkey,Europe,1333240.0,15808.1,122977.0,14205.0,19878.0,235.69,1781.0,254.0,Community transmission
Poland,Europe,1261010.0,33318.97,53677.0,3211.0,27147.0,717.29,1673.0,29.0,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1200465.0,14292.45,42081.0,5502.0,54693.0,651.16,1068.0,119.0,Community transmission
Ukraine,Europe,1030374.0,23560.15,59381.0,4385.0,17849.0,408.13,1184.0,75.0,Community transmission
Peru,Americas,1006318.0,30520.52,10419.0,772.0,37414.0,1134.73,380.0,46.0,Community transmission
South Africa,Africa,1004413.0,16935.34,82491.0,9502.0,26735.0,450.78,2044.0,214.0,Community transmission
Netherlands,Europe,763279.0,44545.36,73624.0,9108.0,11003.0,642.14,517.0,29.0,Community transmission
Indonesia,South-East Asia,713365.0,2608.06,48435.0,6528.0,21237.0,77.64,1357.0,243.0,Community transmission
Czechia,Europe,674340.0,62969.58,46817.0,3741.0,11152.0,1041.37,741.0,108.0,Community transmission
Belgium,Europe,638877.0,55124.92,11307.0,3.0,19200.0,1656.65,411.0,8.0,Community transmission
Romania,Europe,615809.0,32010.55,24515.0,2049.0,15230.0,791.68,836.0,122.0,Community transmission
Chile,Americas,600105.0,31392.48,14560.0,1711.0,16443.0,860.16,289.0,39.0,Community transmission
Iraq,Eastern Mediterranean,591597.0,14708.11,7452.0,818.0,12780.0,317.73,83.0,13.0,Community transmission
Canada,Americas,543353.0,14396.45,41759.0,4055.0,14785.0,391.74,631.0,4.0,Community transmission
Bangladesh,South-East Asia,509148.0,3091.57,8435.0,1049.0,7452.0,45.25,172.0,24.0,Community transmission
Pakistan,Eastern Mediterranean,471335.0,2133.78,14047.0,1853.0,9874.0,44.7,544.0,58.0,Clusters of cases
Philippines,Western Pacific,469886.0,4288.02,10097.0,881.0,9109.0,83.13,162.0,42.0,Community transmission
Morocco,Eastern Mediterranean,432079.0,11706.11,14954.0,1517.0,7240.0,196.15,283.0,36.0,Clusters of cases
Switzerland,Europe,426199.0,49245.25,17337.0,0.0,6508.0,751.97,395.0,0.0,Community transmission
Sweden,Europe,396048.0,39215.53,15526.0,0.0,8279.0,819.76,47.0,0.0,Community transmission
Portugal,Europe,394573.0,38696.11,20452.0,1577.0,6619.0,649.13,485.0,63.0,Clusters of cases
Israel,Europe,383715.0,44331.75,10471.0,0.0,3138.0,362.54,44.0,0.0,Community transmission
Saudi Arabia,Eastern Mediterranean,362220.0,10404.47,1210.0,154.0,6185.0,177.66,63.0,9.0,Sporadic cases
Austria,Europe,349735.0,38831.84,13513.0,1376.0,5794.0,643.32,578.0,42.0,Community transmission
Serbia,Europe,326060.0,46822.38,25998.0,2693.0,3030.0,435.11,344.0,47.0,Community transmission
Hungary,Europe,316669.0,32780.28,11539.0,609.0,9161.0,948.31,869.0,114.0,Community transmission
Jordan,Eastern Mediterranean,287946.0,28221.33,12997.0,1590.0,3758.0,368.32,190.0,29.0,Community transmission
Nepal,South-East Asia,258181.0,8860.99,4409.0,481.0,1825.0,62.64,37.0,6.0,Clusters of cases
Panama,Americas,228724.0,53009.58,19140.0,2064.0,3799.0,880.46,272.0,43.0,Community transmission
Georgia,Europe,222143.0,55686.56,12681.0,538.0,2418.0,606.14,278.0,41.0,Community transmission
Japan,Western Pacific,220236.0,1741.32,21713.0,2924.0,3252.0,25.71,352.0,39.0,Clusters of cases
Azerbaijan,Europe,214711.0,21176.37,12623.0,1519.0,2499.0,246.47,289.0,45.0,Clusters of cases
Ecuador,Americas,209355.0,11866.14,3098.0,81.0,13992.0,793.06,44.0,2.0,Community transmission
Croatia,Europe,205246.0,49995.77,9518.0,316.0,3739.0,910.78,482.0,68.0,Community transmission
United Arab Emirates,Eastern Mediterranean,201836.0,20407.26,8261.0,944.0,657.0,66.43,20.0,2.0,Community transmission
Bulgaria,Europe,197716.0,28454.71,6521.0,332.0,7164.0,1031.02,555.0,41.0,Clusters of cases
Kazakhstan,Europe,196216.0,10449.97,3637.0,0.0,2669.0,142.14,0.0,0.0,Clusters of cases
Belarus,Europe,186747.0,19763.0,13224.0,1825.0,1385.0,146.57,61.0,9.0,Community transmission
Lebanon,Eastern Mediterranean,171226.0,25086.42,13122.0,1754.0,1394.0,204.24,113.0,15.0,Community transmission
Slovakia,Europe,168092.0,30788.1,15537.0,569.0,1879.0,344.16,261.0,106.0,Clusters of cases
Dominican Republic,Americas,166764.0,15372.92,6378.0,824.0,2404.0,221.61,20.0,0.0,Community transmission
Costa Rica,Americas,162990.0,31995.73,4499.0,0.0,2086.0,409.49,75.0,0.0,Community transmission
Armenia,Europe,157261.0,53070.57,3883.0,114.0,2770.0,934.79,119.0,7.0,Community transmission
Bolivia (Plurinational State of),Americas,154349.0,13222.71,4579.0,759.0,9093.0,778.98,58.0,10.0,Community transmission
Denmark,Europe,153347.0,26474.73,18913.0,2180.0,1174.0,202.69,139.0,21.0,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,150046.0,29412.63,11513.0,1506.0,1434.0,281.1,178.0,28.0,Community transmission
Kuwait,Eastern Mediterranean,149653.0,35042.85,1674.0,204.0,931.0,218.0,10.0,2.0,Community transmission
Qatar,Eastern Mediterranean,143062.0,49656.15,1061.0,159.0,244.0,84.69,1.0,0.0,Community transmission
Republic of Moldova,Europe,141355.0,35041.22,6148.0,359.0,2891.0,716.66,139.0,8.0,Community transmission
Greece,Europe,135456.0,12995.81,4384.0,342.0,4606.0,441.91,434.0,53.0,Community transmission
Guatemala,Americas,135309.0,7552.59,2544.0,138.0,4768.0,266.14,112.0,5.0,Community transmission
Egypt,Eastern Mediterranean,132541.0,1295.18,6986.0,1226.0,7405.0,72.36,307.0,53.0,Clusters of cases
Lithuania,Europe,132369.0,48624.15,17882.0,1771.0,1269.0,466.15,230.0,15.0,Community transmission
Tunisia,Eastern Mediterranean,131592.0,11134.3,10905.0,1362.0,4466.0,377.88,308.0,40.0,Community transmission
Oman,Eastern Mediterranean,128472.0,25157.9,805.0,182.0,1495.0,292.76,7.0,4.0,Community transmission
Ethiopia,Africa,122413.0,1064.8,2462.0,0.0,1901.0,16.54,48.0,0.0,Community transmission
Myanmar,South-East Asia,121886.0,2240.15,6699.0,606.0,2601.0,47.8,177.0,22.0,Clusters of cases
Honduras,Americas,119097.0,12024.4,2237.0,438.0,3065.0,309.45,40.0,4.0,Community transmission
Slovenia,Europe,114806.0,55223.39,8897.0,614.0,2532.0,1217.93,113.0,2.0,Clusters of cases
Venezuela (Bolivarian Republic of),Americas,111951.0,3936.95,2170.0,348.0,1013.0,35.62,29.0,3.0,Community transmission
