WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,63965092,8194.023371317633,3865540,591432,1488120,190.630384137104,70620,11741,
United States of America,Americas,13563731,40977.71,1121806,177976,268482,811.12,10657,2439,Community transmission
India,South-East Asia,9534964,6909.37,268259,35551,138648,100.47,3425,526,Clusters of cases
Brazil,Americas,6386787,30047.07,268079,50909,173817,817.73,3702,697,Community transmission
Russian Federation,Europe,2375546,16278.17,187556,28145,41607,285.11,3545,554,Clusters of cases
France,Europe,2205212,33784.18,73836,13938,53455,818.94,3196,309,Community transmission
Spain,Europe,1665775,35627.91,46922,4880,45784,979.24,1048,46,Community transmission
The United Kingdom,Europe,1659260,24441.85,102249,16170,59699,879.4,3166,648,Community transmission
Italy,Europe,1641610,27151.18,160736,20709,57045,943.49,5017,684,Clusters of cases
Argentina,Americas,1432570,31696.99,50775,8037,38928,861.32,1496,198,Community transmission
Colombia,Americas,1324792,26036.1,62298,7986,36934,725.86,1257,168,Community transmission
Mexico,Americas,1122362,8705.02,62210,8819,106765,828.07,4026,825,Community transmission
Germany,Europe,1106789,13210.04,123201,22046,17602,210.09,2442,479,Clusters of cases
Poland,Europe,1013747,26785.67,89325,13823,18208,481.1,3220,609,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,989572,11781.61,95187,13621,48990,583.26,2783,362,Community transmission
Peru,Americas,965228,29274.3,12789,1623,36031,1092.78,346,65,Community transmission
South Africa,Africa,796472,13429.26,20970,4173,21709,366.03,508,65,Community transmission
Ukraine,Europe,772760,17669.64,95571,14496,12960,296.34,1243,243,Community transmission
Belgium,Europe,582149,50230.19,11020,3,16911,1459.15,649,15,Community transmission
Iraq,Eastern Mediterranean,556728,13841.21,14541,1961,12340,306.79,254,34,Community transmission
Chile,Americas,553898,28975.32,9806,1034,15438,807.59,300,8,Community transmission
Indonesia,South-East Asia,549508,2009.0,37672,5533,17199,62.88,974,118,Community transmission
Czechia,Europe,533042,49775.23,27827,4568,8515,795.13,904,108,Community transmission
Netherlands,Europe,531794,31035.77,33751,4917,9491,553.9,395,66,Community transmission
Turkey,Europe,513656,6090.37,45926,6690,14129,167.53,1289,193,Community transmission
Romania,Europe,484550,25187.53,44206,4916,11665,606.36,1124,135,Community transmission
Bangladesh,South-East Asia,469423,2850.35,15277,2198,6713,40.76,226,38,Community transmission
Philippines,Western Pacific,434357,3963.8,11442,1432,8436,76.98,221,18,Community transmission
