WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,101561219,13010.14312784086,3739022,500985,2196944,281.4317922262356,95826,13915,
United States of America,Americas,25512197,77075.51,1098866,158153,429652,1298.03,22870,3982,Community transmission
India,South-East Asia,10733131,7777.61,93447,13083,154147,111.7,963,137,Clusters of cases
Brazil,Americas,9058687,42617.2,361319,61811,221547,1042.28,7400,1386,Community transmission
Russian Federation,Europe,3832080,26258.91,133807,19032,72697,498.15,3726,512,Clusters of cases
The United Kingdom,Europe,3743738,55147.41,159827,0,103126,1519.11,7145,0,Community transmission
France,Europe,3102215,47526.4,140478,22670,75224,1152.44,2969,819,Community transmission
Spain,Europe,2705001,57855.07,149080,0,57806,1236.37,1471,0,Community transmission
Italy,Europe,2529070,41829.2,87216,13563,87858,1453.12,3184,477,Clusters of cases
Turkey,Europe,2464030,29215.76,45558,6912,25736,305.15,947,131,Community transmission
Germany,Europe,2205171,26319.73,82492,12321,56546,674.9,5025,794,Community transmission
Colombia,Americas,2067575,40633.99,95230,12270,52913,1039.9,2726,390,Community transmission
Argentina,Americas,1905524,42161.55,62447,9471,47601,1053.22,1246,166,Community transmission
Mexico,Americas,1825519,14158.69,114236,18670,155145,1203.3,8971,1506,Community transmission
Poland,Europe,1508674,39862.86,37795,5864,37082,979.8,1829,302,Community transmission
South Africa,Africa,1443939,24346.16,51371,6141,43633,735.69,3557,528,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1405414,16732.52,44589,6573,57807,688.24,582,71,Community transmission
Ukraine,Europe,1216278,27810.96,28381,4685,22628,517.4,850,149,Community transmission
Peru,Americas,1119685,33958.81,36778,5715,40484,1227.84,1210,212,Community transmission
Indonesia,South-East Asia,1051795,3845.35,86512,13802,29518,107.92,2065,187,Community transmission
Czechia,Europe,980714,91578.65,47353,8072,16211,1513.78,941,139,Community transmission
Netherlands,Europe,970602,56644.84,32352,4438,13872,809.58,457,58,Community transmission
Canada,Americas,766103,20298.34,34653,4877,19664,521.01,1042,131,Community transmission
Romania,Europe,724250,37647.45,17775,2737,18196,945.85,568,91,Community transmission
Chile,Americas,718749,37598.95,28683,4606,18257,955.05,471,83,Community transmission
Belgium,Europe,705120,60840.63,11864,1,21018,1813.52,280,0,Community transmission
Portugal,Europe,698583,68510.63,89447,13200,11886,1165.67,1966,278,Clusters of cases
Iraq,Eastern Mediterranean,618147,15368.19,6055,945,13036,324.1,52,12,Community transmission
Israel,Europe,615928,71160.01,31261,0,4562,527.06,302,0,Community transmission
Sweden,Europe,566957,56138.44,19802,2366,11591,1147.71,108,1,Community transmission
Pakistan,Eastern Mediterranean,541031,2449.3,12140,1644,11560,52.33,356,46,Community transmission
Bangladesh,South-East Asia,534407,3244.94,3517,454,8094,49.15,113,7,Community transmission
Philippines,Western Pacific,521413,4758.24,11526,1838,10600,96.73,464,48,Community transmission
Switzerland,Europe,518759,59940.11,9216,1,8601,993.8,182,2,Community transmission
Morocco,Eastern Mediterranean,469990,12733.21,5146,851,8246,223.4,141,22,Clusters of cases
Austria,Europe,408373,45342.54,9737,1606,7605,844.4,317,47,Community transmission
Serbia,Europe,392354,56342.23,11552,1717,3983,571.96,134,18,Community transmission
Japan,Western Pacific,383083,3028.89,27009,3567,5546,43.85,611,94,Clusters of cases
Saudi Arabia,Eastern Mediterranean,367543,10557.37,1555,267,6368,182.92,22,2,Sporadic cases
Hungary,Europe,364909,37773.89,6592,0,12374,1280.91,470,0,Community transmission
Jordan,Eastern Mediterranean,325033,31856.19,6122,864,4281,419.58,74,12,Community transmission
Panama,Americas,316808,73424.13,11056,1408,5196,1204.24,252,20,Community transmission
United Arab Emirates,Eastern Mediterranean,297014,30030.53,26204,3962,826,83.52,50,7,Community transmission
Lebanon,Eastern Mediterranean,296282,43408.45,23871,3125,2680,392.65,462,59,Community transmission
Nepal,South-East Asia,270745,9292.2,1797,157,2025,69.5,39,5,Clusters of cases
Georgia,Europe,257632,64582.91,4660,676,3159,791.89,121,11,Community transmission
Slovakia,Europe,246999,45240.88,12428,991,4565,836.14,600,70,Clusters of cases
Ecuador,Americas,246000,13943.16,8842,0,14766,836.93,204,0,Community transmission
Belarus,Europe,244718,25897.94,10607,1867,1698,179.7,70,10,Community transmission
Kazakhstan,Europe,233156,12417.3,8761,0,3035,161.64,79,0,Clusters of cases
Croatia,Europe,232090,56534.69,3522,551,4998,1217.46,199,26,Community transmission
Azerbaijan,Europe,229935,22677.88,1409,142,3119,307.62,55,6,Clusters of cases
Bulgaria,Europe,218269,31412.64,3839,695,9008,1296.41,209,35,Clusters of cases
Bolivia (Plurinational State of),Americas,210726,18052.4,14333,2652,10226,876.04,408,59,Community transmission
Dominican Republic,Americas,210412,19396.55,9267,1802,2626,242.07,130,23,Community transmission
Tunisia,Eastern Mediterranean,206030,17432.66,12757,1679,6599,558.36,507,91,Community transmission
Malaysia,Western Pacific,203933,6300.84,27753,5725,733,22.65,73,16,Clusters of cases
Denmark,Europe,197664,34125.88,4626,456,2084,359.79,143,13,Community transmission
Ireland,Europe,193892,39266.99,9613,247,3214,650.9,344,47,Community transmission
Costa Rica,Americas,192637,37815.57,4160,571,2599,510.2,93,15,Community transmission
Lithuania,Europe,181734,66757.79,5883,706,2787,1023.77,159,25,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,178001,34892.48,4037,575,2001,392.24,64,11,Community transmission
Armenia,Europe,166901,56323.76,992,173,3071,1036.36,37,2,Community transmission
Slovenia,Europe,165887,79794.11,8547,1304,3732,1795.15,118,23,Clusters of cases
Egypt,Eastern Mediterranean,164871,1611.1,4408,589,9217,90.07,364,48,Clusters of cases
Kuwait,Eastern Mediterranean,164108,38427.65,3741,658,958,224.33,6,0,Community transmission
Republic of Moldova,Europe,158860,39380.63,3558,551,3424,848.79,92,11,Community transmission
Guatemala,Americas,158336,8837.9,5380,741,5582,311.57,162,39,Community transmission
Greece,Europe,155678,14935.93,4637,882,5764,553.0,166,22,Community transmission
Qatar,Eastern Mediterranean,150621,52279.84,2100,341,248,86.08,0,0,Community transmission
