WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,74299042.0,9517.817728058772,4465253.0,700846.0,1669982.0,213.927176680677,79478.0,13289.0,
United States of America,Americas,16912564.0,51094.95,1507675.0,229915.0,308403.0,931.72,18270.0,3443.0,Community transmission
India,South-East Asia,10004599.0,7249.69,177824.0,25152.0,145136.0,105.17,2508.0,347.0,Clusters of cases
Brazil,Americas,7110434.0,33451.51,328635.0,69826.0,184827.0,869.53,5062.0,1092.0,Community transmission
Russian Federation,Europe,2819429.0,19319.83,193581.0,28209.0,50347.0,345.0,3894.0,585.0,Clusters of cases
France,Europe,2401113.0,36785.41,90412.0,15440.0,59855.0,916.99,2657.0,610.0,Community transmission
The United Kingdom,Europe,1977171.0,29124.87,167712.0,28507.0,66541.0,980.19,3035.0,489.0,Community transmission
Italy,Europe,1921778.0,31784.98,115905.0,15401.0,67894.0,1122.92,4507.0,674.0,Clusters of cases
Spain,Europe,1797236.0,38439.62,55674.0,5671.0,48926.0,1046.44,743.0,38.0,Community transmission
Argentina,Americas,1524372.0,33728.2,40996.0,7326.0,41534.0,918.98,1092.0,169.0,Community transmission
Germany,Europe,1471238.0,17559.9,170722.0,31300.0,25640.0,306.03,4174.0,702.0,Clusters of cases
Colombia,Americas,1468795.0,28866.19,68884.0,12196.0,39787.0,781.93,1303.0,227.0,Community transmission
Mexico,Americas,1289298.0,9999.77,72172.0,11799.0,116487.0,903.47,4161.0,718.0,Community transmission
Poland,Europe,1194110.0,31551.31,78909.0,11246.0,25254.0,667.27,3080.0,483.0,Community transmission
Turkey,Europe,1167752.0,13845.92,201417.0,26410.0,17610.0,208.8,1633.0,246.0,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1145651.0,13639.85,53034.0,7121.0,53273.0,634.26,1545.0,178.0,Community transmission
Peru,Americas,991518.0,30071.65,12407.0,2061.0,36901.0,1119.17,402.0,43.0,Community transmission
Ukraine,Europe,956123.0,21862.35,71084.0,11742.0,16469.0,376.57,1471.0,213.0,Community transmission
South Africa,Africa,901538.0,15200.77,56455.0,8725.0,24285.0,409.47,1333.0,274.0,Community transmission
Netherlands,Europe,664307.0,38769.3,70349.0,12028.0,10398.0,606.83,441.0,85.0,Community transmission
Indonesia,South-East Asia,650197.0,2377.11,44954.0,6689.0,19514.0,71.34,1003.0,124.0,Community transmission
Belgium,Europe,621039.0,53585.78,13516.0,2.0,18455.0,1592.37,515.0,9.0,Community transmission
Czechia,Europe,618836.0,57786.64,43414.0,8830.0,10271.0,959.1,821.0,108.0,Community transmission
Romania,Europe,582786.0,30293.97,37219.0,5340.0,14157.0,735.9,1041.0,188.0,Community transmission
Iraq,Eastern Mediterranean,581811.0,14464.82,9211.0,1362.0,12670.0,315.0,121.0,20.0,Community transmission
Chile,Americas,581135.0,30400.13,13161.0,2403.0,16051.0,839.65,269.0,44.0,Community transmission
Bangladesh,South-East Asia,498293.0,3025.65,10444.0,1318.0,7217.0,43.82,231.0,25.0,Community transmission
Canada,Americas,488638.0,12946.74,46569.0,7008.0,13916.0,368.71,807.0,117.0,Community transmission
Philippines,Western Pacific,456562.0,4166.43,9523.0,2115.0,8875.0,80.99,166.0,25.0,Community transmission
Pakistan,Eastern Mediterranean,451494.0,2043.95,19167.0,2972.0,9164.0,41.49,511.0,84.0,Clusters of cases
Morocco,Eastern Mediterranean,412393.0,11172.76,17829.0,2647.0,6854.0,185.69,312.0,50.0,Clusters of cases
Switzerland,Europe,402264.0,46479.67,29935.0,4444.0,5981.0,691.08,603.0,119.0,Community transmission
Sweden,Europe,367120.0,36351.16,46352.0,9659.0,7993.0,791.44,196.0,2.0,Community transmission
Portugal,Europe,366952.0,35987.3,26665.0,4336.0,5977.0,586.17,604.0,75.0,Clusters of cases
Israel,Europe,362861.0,41922.42,10065.0,0.0,3027.0,349.72,59.0,0.0,Community transmission
Saudi Arabia,Eastern Mediterranean,360690.0,10360.53,1107.0,174.0,6101.0,175.25,78.0,10.0,Sporadic cases
Austria,Europe,332371.0,36903.88,18278.0,1914.0,5017.0,557.05,758.0,131.0,Community transmission
Hungary,Europe,300022.0,31057.05,23775.0,4045.0,7914.0,819.22,1130.0,189.0,Community transmission
Serbia,Europe,292640.0,42023.25,36882.0,4910.0,2580.0,370.49,353.0,51.0,Community transmission
Jordan,Eastern Mediterranean,271514.0,26610.84,16055.0,1708.0,3518.0,344.8,232.0,22.0,Community transmission
Nepal,South-East Asia,252474.0,8665.12,5780.0,782.0,1765.0,60.58,91.0,16.0,Clusters of cases
Georgia,Europe,206907.0,51867.22,19901.0,2904.0,2055.0,515.15,311.0,53.0,Community transmission
Ecuador,Americas,204249.0,11576.74,3484.0,0.0,13932.0,789.66,74.0,0.0,Community transmission
Panama,Americas,203295.0,47116.1,17871.0,3348.0,3481.0,806.76,194.0,42.0,Community transmission
Azerbaijan,Europe,195422.0,19273.95,28267.0,3962.0,2133.0,210.37,293.0,45.0,Clusters of cases
Japan,Western Pacific,193031.0,1526.22,18732.0,2893.0,2828.0,22.36,294.0,45.0,Clusters of cases
United Arab Emirates,Eastern Mediterranean,191150.0,19326.82,8549.0,1284.0,630.0,63.7,23.0,1.0,Community transmission
Croatia,Europe,190235.0,46339.25,21847.0,3272.0,3023.0,736.37,539.0,68.0,Community transmission
Bulgaria,Europe,190027.0,27348.13,12362.0,1739.0,6496.0,934.89,934.0,157.0,Clusters of cases
Kazakhstan,Europe,189551.0,10095.01,4038.0,0.0,2609.0,138.95,67.0,0.0,Clusters of cases
Belarus,Europe,169648.0,17953.46,13289.0,1917.0,1308.0,138.42,62.0,9.0,Community transmission
Dominican Republic,Americas,157929.0,14558.47,5477.0,624.0,2376.0,219.03,17.0,1.0,Community transmission
Costa Rica,Americas,156388.0,30699.72,6573.0,1125.0,1980.0,388.68,98.0,13.0,Community transmission
Lebanon,Eastern Mediterranean,154944.0,22700.94,11239.0,2051.0,1259.0,184.46,77.0,11.0,Community transmission
Armenia,Europe,153173.0,51691.0,5861.0,920.0,2616.0,882.82,154.0,20.0,Community transmission
Slovakia,Europe,149275.0,27341.54,18481.0,3151.0,1510.0,276.57,362.0,70.0,Clusters of cases
Bolivia (Plurinational State of),Americas,148665.0,12735.78,2280.0,451.0,9031.0,773.66,23.0,2.0,Community transmission
Kuwait,Eastern Mediterranean,147531.0,34545.97,1742.0,339.0,916.0,214.49,6.0,3.0,Community transmission
Qatar,Eastern Mediterranean,141716.0,49188.96,1036.0,159.0,242.0,84.0,2.0,0.0,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,135356.0,26533.04,14199.0,2170.0,1207.0,236.6,178.0,21.0,Community transmission
Republic of Moldova,Europe,133360.0,33059.3,9096.0,1441.0,2700.0,669.32,179.0,26.0,Community transmission
Guatemala,Americas,132062.0,7371.35,3521.0,627.0,4589.0,256.15,213.0,38.0,Community transmission
Greece,Europe,129584.0,12432.44,6936.0,874.0,4044.0,387.99,572.0,96.0,Community transmission
Denmark,Europe,128321.0,22154.1,24757.0,4508.0,1007.0,173.85,80.0,15.0,Community transmission
Oman,Eastern Mediterranean,127019.0,24873.37,1350.0,0.0,1483.0,290.41,20.0,0.0,Community transmission
Egypt,Eastern Mediterranean,124280.0,1214.45,3669.0,579.0,7041.0,68.8,164.0,26.0,Clusters of cases
Ethiopia,Africa,119025.0,1035.33,3665.0,544.0,1843.0,16.03,64.0,12.0,Community transmission
Tunisia,Eastern Mediterranean,117582.0,9948.88,8478.0,1616.0,4090.0,346.06,289.0,58.0,Community transmission
Honduras,Americas,115474.0,11658.62,2267.0,157.0,3021.0,305.01,53.0,8.0,Community transmission
Myanmar,South-East Asia,113082.0,2078.34,8595.0,1182.0,2377.0,43.69,176.0,31.0,Clusters of cases
Lithuania,Europe,109429.0,40197.42,19177.0,3219.0,1005.0,369.17,214.0,33.0,Community transmission
Venezuela (Bolivarian Republic of),Americas,109081.0,3836.03,2801.0,364.0,975.0,34.29,37.0,5.0,Community transmission
