WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,81475053.0,10437.07540452444,3928621.0,692018.0,1798050.0,230.3328778577801,72364.0,13941.0,
United States of America,Americas,19346790.0,58449.05,1256530.0,199163.0,335789.0,1014.46,15609.0,3366.0,Community transmission
India,South-East Asia,10266674.0,7439.6,142896.0,21822.0,148738.0,107.78,1982.0,299.0,Clusters of cases
Brazil,Americas,7563551.0,35583.23,244730.0,58718.0,192681.0,906.48,4422.0,1111.0,Community transmission
Russian Federation,Europe,3159297.0,21648.74,195609.0,27747.0,57019.0,390.72,3923.0,593.0,Clusters of cases
France,Europe,2556708.0,39169.15,93329.0,26308.0,64004.0,980.55,2402.0,303.0,Community transmission
The United Kingdom,Europe,2432892.0,35837.9,283337.0,50023.0,72548.0,1068.67,3497.0,981.0,Community transmission
Italy,Europe,2083689.0,34462.89,92411.0,16202.0,73604.0,1217.36,3209.0,575.0,Clusters of cases
Spain,Europe,1893502.0,40498.58,41051.0,0.0,50442.0,1078.86,426.0,0.0,Community transmission
Germany,Europe,1719737.0,20525.85,132622.0,32552.0,33071.0,394.72,4301.0,964.0,Clusters of cases
Colombia,Americas,1614822.0,31736.05,84229.0,11015.0,42620.0,837.61,1689.0,246.0,Community transmission
Argentina,Americas,1602163.0,35449.4,46884.0,11650.0,43018.0,951.81,764.0,150.0,Community transmission
Mexico,Americas,1401529.0,10870.23,63103.0,12099.0,123845.0,960.54,4350.0,990.0,Community transmission
Turkey,Europe,1379934.0,16361.74,111662.0,15692.0,20642.0,244.75,1781.0,254.0,Community transmission
Poland,Europe,1294878.0,34213.84,54880.0,13464.0,28554.0,754.47,1802.0,535.0,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1218753.0,14510.18,41749.0,6272.0,55095.0,655.95,939.0,149.0,Community transmission
Ukraine,Europe,1055047.0,24124.31,53915.0,9699.0,18533.0,423.77,1138.0,209.0,Community transmission
South Africa,Africa,1039161.0,17521.23,84903.0,17710.0,28033.0,472.66,2376.0,465.0,Community transmission
Peru,Americas,1010496.0,30647.23,10343.0,1588.0,37574.0,1139.58,356.0,49.0,Community transmission
Netherlands,Europe,787797.0,45976.24,66611.0,9504.0,11330.0,661.22,591.0,112.0,Community transmission
Indonesia,South-East Asia,735124.0,2687.61,49485.0,8002.0,21944.0,80.23,1536.0,241.0,Community transmission
Czechia,Europe,718661.0,67108.25,58200.0,17039.0,11580.0,1081.34,804.0,151.0,Community transmission
Belgium,Europe,644242.0,55587.83,8142.0,0.0,19441.0,1677.45,380.0,0.0,Community transmission
Romania,Europe,627941.0,32641.18,23690.0,4875.0,15596.0,810.7,830.0,127.0,Community transmission
Chile,Americas,605950.0,31698.24,15036.0,1964.0,16499.0,863.09,271.0,11.0,Community transmission
Iraq,Eastern Mediterranean,594442.0,14778.85,6766.0,901.0,12808.0,318.43,71.0,8.0,Community transmission
