WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,83322449.0,10673.7295783366,4030775.0,740221.0,1831412.0,234.6065996514406,75717.0,12502.0,
United States of America,Americas,19974413.0,60345.18,1325424.0,396196.0,345253.0,1043.05,17239.0,5703.0,Community transmission
India,South-East Asia,10323965.0,7481.11,136115.0,18177.0,149435.0,108.29,1813.0,217.0,Clusters of cases
Brazil,Americas,7700578.0,36227.88,252018.0,24605.0,195411.0,919.32,4923.0,462.0,Community transmission
Russian Federation,Europe,3236787.0,22179.73,186539.0,24150.0,58506.0,400.91,3728.0,504.0,Clusters of cases
The United Kingdom,Europe,2599793.0,38296.45,343784.0,57724.0,74570.0,1098.46,4165.0,445.0,Community transmission
France,Europe,2599127.0,39819.02,91595.0,3466.0,64543.0,988.81,2346.0,156.0,Community transmission
Italy,Europe,2141201.0,35414.1,102442.0,11825.0,74985.0,1240.2,3365.0,364.0,Clusters of cases
Spain,Europe,1893502.0,40498.58,16852.0,0.0,50442.0,1078.86,168.0,0.0,Community transmission
Germany,Europe,1765666.0,21074.04,124808.0,10315.0,34272.0,409.05,4494.0,312.0,Clusters of cases
Colombia,Americas,1654880.0,32523.31,80173.0,12105.0,43495.0,854.81,1805.0,282.0,Community transmission
Argentina,Americas,1629594.0,36056.34,55040.0,4080.0,43319.0,958.47,897.0,74.0,Community transmission
Mexico,Americas,1437185.0,11146.78,64942.0,11091.0,126507.0,981.19,4670.0,700.0,Community transmission
Turkey,Europe,1417697.0,16809.49,98662.0,11180.0,21295.0,252.49,1671.0,202.0,Community transmission
Poland,Europe,1318562.0,34839.63,60763.0,5782.0,29119.0,769.4,2001.0,61.0,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1237474.0,14733.07,42511.0,6045.0,55438.0,660.03,864.0,101.0,Community transmission
South Africa,Africa,1088889.0,18359.69,93978.0,31328.0,29175.0,491.92,2654.0,706.0,Community transmission
Ukraine,Europe,1074093.0,24559.81,48104.0,4576.0,18854.0,431.11,1080.0,123.0,Community transmission
Peru,Americas,1017199.0,30850.52,11653.0,2062.0,37724.0,1144.13,356.0,44.0,Community transmission
Netherlands,Europe,814361.0,47526.53,60190.0,8630.0,11575.0,675.52,601.0,38.0,Community transmission
Indonesia,South-East Asia,758473.0,2772.97,51636.0,7203.0,22555.0,82.46,1561.0,226.0,Community transmission
Czechia,Europe,740481.0,69145.79,69882.0,5012.0,11960.0,1116.82,916.0,133.0,Community transmission
Belgium,Europe,649169.0,56012.95,9618.0,3.0,19644.0,1694.96,387.0,7.0,Community transmission
Romania,Europe,636201.0,33070.55,22441.0,0.0,15841.0,823.44,733.0,0.0,Community transmission
Chile,Americas,615902.0,32218.85,17508.0,3338.0,16724.0,874.86,320.0,64.0,Community transmission
Iraq,Eastern Mediterranean,597033.0,14843.26,6254.0,840.0,12829.0,318.95,62.0,5.0,Community transmission
Canada,Americas,587639.0,15569.83,50966.0,14657.0,15679.0,415.42,959.0,207.0,Community transmission
Bangladesh,South-East Asia,515184.0,3128.22,7085.0,684.0,7599.0,46.14,171.0,23.0,Community transmission
Pakistan,Eastern Mediterranean,484362.0,2192.75,14880.0,2184.0,10258.0,46.44,442.0,82.0,Clusters of cases
Philippines,Western Pacific,476916.0,4352.17,7911.0,1096.0,9253.0,84.44,186.0,5.0,Community transmission
Switzerland,Europe,450075.0,52004.0,18879.0,0.0,7049.0,814.48,419.0,0.0,Community transmission
Morocco,Eastern Mediterranean,442141.0,11978.71,11579.0,1171.0,7452.0,201.89,248.0,27.0,Clusters of cases
Sweden,Europe,437379.0,43308.0,22117.0,0.0,8727.0,864.12,68.0,0.0,Community transmission
Israel,Europe,425582.0,49168.77,28963.0,0.0,3338.0,385.65,132.0,0.0,Community transmission
Portugal,Europe,423870.0,41569.29,30874.0,3241.0,7045.0,690.91,489.0,73.0,Clusters of cases
