WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,70461926,9026.277464465362,4315154,649425,1599704,204.9244604102235,74821,10718,
United States of America,Americas,15648098,47274.84,1456800,243209,293129,885.58,16626,2996,Community transmission
India,South-East Asia,9857029,7142.75,212807,30254,143019,103.64,2837,391,Clusters of cases
Brazil,Americas,6836227,32161.49,302259,54428,180437,848.88,4473,672,Community transmission
Russian Federation,Europe,2653928,18185.75,193158,28080,46941,321.66,3800,488,Clusters of cases
France,Europe,2324603,35613.27,82773,13902,57392,879.25,2774,194,Community transmission
The United Kingdom,Europe,1830960,26971.09,124985,21501,64026,943.14,3012,520,Community transmission
Italy,Europe,1825775,30197.15,115784,19902,64036,1059.11,4522,649,Clusters of cases
Spain,Europe,1730575,37013.86,28764,0,47624,1018.59,636,0,Community transmission
Argentina,Americas,1489328,32952.82,34697,5952,40606,898.45,1094,164,Community transmission
Colombia,Americas,1408909,27689.25,56302,8998,38669,759.96,1202,185,Community transmission
Germany,Europe,1320716,15763.35,149394,20200,21787,260.04,3015,321,Clusters of cases
Mexico,Americas,1229379,9535.04,72609,12253,113019,876.57,4156,693,Community transmission
Poland,Europe,1126700,29770.17,72427,11499,22676,599.16,2815,502,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1100818,13106.08,71832,8201,51949,618.49,1933,221,Community transmission
Turkey,Europe,995471,11803.2,219115,29136,16199,192.07,1494,222,Community transmission
Peru,Americas,980943,29750.92,10083,1832,36544,1108.34,349,45,Community transmission
Ukraine,Europe,885039,20236.97,71733,0,14998,342.94,1410,0,Community transmission
South Africa,Africa,852965,14381.79,42516,7882,23106,389.59,1039,154,Community transmission
Indonesia,South-East Asia,611631,2236.12,41924,6388,18653,68.2,1064,142,Community transmission
Belgium,Europe,605830,52273.49,13411,1,17902,1544.66,538,12,Community transmission
Netherlands,Europe,603140,35199.56,53356,9182,10010,584.19,361,53,Community transmission
Czechia,Europe,579079,54074.15,34900,3657,9535,890.37,720,85,Community transmission
Iraq,Eastern Mediterranean,573622,14261.22,11102,1022,12565,312.39,154,16,Community transmission
Chile,Americas,569781,29806.18,11113,1807,15846,828.93,254,64,Community transmission
Romania,Europe,551900,28688.47,43555,6333,13264,689.48,1078,148,Community transmission
Bangladesh,South-East Asia,489178,2970.31,13299,1329,7020,42.63,213,34,Community transmission
Canada,Americas,448841,11892.3,46272,6772,13251,351.09,755,142,Community transmission
Philippines,Western Pacific,448331,4091.32,10262,1292,8730,79.67,204,21,Community transmission
Pakistan,Eastern Mediterranean,435056,1969.54,21865,2729,8724,39.49,421,71,Clusters of cases
Morocco,Eastern Mediterranean,397597,10771.9,20859,3033,6589,178.51,405,47,Clusters of cases
Switzerland,Europe,372329,43020.83,25970,0,5378,621.4,488,0,Community transmission
Saudi Arabia,Eastern Mediterranean,359749,10333.5,1223,166,6036,173.38,82,13,Sporadic cases
Israel,Europe,350772,40525.74,7843,0,2956,341.52,50,0,Community transmission
Portugal,Europe,344700,33805.02,26060,4413,5461,535.56,585,88,Clusters of cases
Sweden,Europe,320098,31695.18,32348,0,7514,744.01,128,0,Community transmission
Austria,Europe,317031,35200.64,18800,2938,4355,483.55,681,96,Community transmission
Hungary,Europe,280400,29025.86,30122,4153,6965,720.99,1097,181,Community transmission
Serbia,Europe,261437,37542.48,47594,5679,2275,326.69,384,48,Community transmission
Jordan,Eastern Mediterranean,257275,25215.29,19762,1816,3335,326.86,325,49,Community transmission
Nepal,South-East Asia,247593,8497.6,7708,899,1689,57.97,112,15,Clusters of cases
Ecuador,Americas,201524,11422.29,4133,759,13874,786.37,118,16,Community transmission
