WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,94124612,12057.50271639106,4356154,312202,2034527,260.6259330882656,91556,8316,
United States of America,Americas,23556676,71167.64,1326873,0,392641,1186.22,21266,0,Community transmission
India,South-East Asia,10581837,7667.97,102658,10064,152556,110.55,1229,137,Clusters of cases
Brazil,Americas,8488099,39932.83,382309,33040,209847,987.24,6747,551,Community transmission
Russian Federation,Europe,3612800,24756.32,164597,21734,66623,456.53,3819,586,Clusters of cases
The United Kingdom,Europe,3433498,50577.4,314976,37535,89860,1323.69,7900,599,Community transmission
France,Europe,2866665,43917.74,126009,3052,70295,1076.93,2238,401,Community transmission
Italy,Europe,2390102,39530.76,101081,8825,82554,1365.39,3351,377,Clusters of cases
Spain,Europe,2211967,47309.97,67169,0,53079,1135.26,289,0,Community transmission
Germany,Europe,2052028,24491.9,118202,11369,47622,568.39,6045,989,Community transmission
Colombia,Americas,1908413,37505.99,121513,17379,48631,955.74,2517,375,Community transmission
Argentina,Americas,1799243,39809.98,77026,7264,45407,1004.67,912,112,Community transmission
Mexico,Americas,1641428,12730.88,107389,11170,140704,1091.3,6998,463,Community transmission
Turkey,Europe,1578625,18717.6,56487,5862,24161,286.47,1180,164,Community transmission
Poland,Europe,1443804,38148.83,47952,4890,33698,890.38,2105,291,Community transmission
South Africa,Africa,1346936,22710.6,100293,9010,37449,631.43,3870,344,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1336217,15908.68,43603,5806,56886,677.27,624,83,Community transmission
Ukraine,Europe,1167655,26699.17,43225,3939,21046,481.23,1027,177,Community transmission
Peru,Americas,1064909,32297.52,29725,4342,38871,1178.91,591,101,Community transmission
Netherlands,Europe,917308,53534.57,39409,4822,13056,761.95,655,59,Community transmission
Indonesia,South-East Asia,917015,3352.6,80297,9086,26282,96.09,1939,295,Community transmission
Czechia,Europe,899503,83995.2,54704,7651,14646,1367.64,1161,197,Community transmission
Canada,Americas,708619,18775.27,48330,6436,18014,477.29,1064,149,Community transmission
Romania,Europe,695153,36134.95,21882,1509,17271,897.77,546,50,Community transmission
Belgium,Europe,679771,58653.42,10312,0,20472,1766.41,254,0,Community transmission
Chile,Americas,673750,35244.97,27858,3918,17547,917.91,385,70,Community transmission
