WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,78604532.0,10069.35739730484,4282284.0,401176.0,1744235.0,223.439096360093,73433.0,7335.0,
United States of America,Americas,18311405.0,55321.02,1398841.0,0.0,323527.0,977.42,15124.0,0.0,Community transmission
India,South-East Asia,10169118.0,7368.9,164519.0,22273.0,147343.0,106.77,2207.0,251.0,Clusters of cases
Brazil,Americas,7425593.0,34934.2,315159.0,60076.0,190006.0,893.9,5179.0,786.0,Community transmission
Russian Federation,Europe,3021964.0,20707.68,202535.0,29258.0,54226.0,371.58,3879.0,567.0,Clusters of cases
France,Europe,2505074.0,38378.11,103961.0,20199.0,62051.0,950.63,2196.0,159.0,Community transmission
The United Kingdom,Europe,2221316.0,32721.26,244145.0,32725.0,70195.0,1034.01,3654.0,570.0,Community transmission
Italy,Europe,2028354.0,33547.68,106576.0,19037.0,71359.0,1180.23,3465.0,459.0,Clusters of cases
Spain,Europe,1854951.0,39674.04,47878.0,0.0,49824.0,1065.65,497.0,0.0,Community transmission
Germany,Europe,1627103.0,19420.22,155865.0,14455.0,29422.0,351.17,3782.0,240.0,Clusters of cases
Argentina,Americas,1571680.0,34774.93,47308.0,7815.0,42392.0,937.96,858.0,78.0,Community transmission
Colombia,Americas,1559766.0,30654.04,90971.0,14940.0,41454.0,814.69,1667.0,281.0,Community transmission
Mexico,Americas,1362564.0,10568.02,73266.0,12485.0,121172.0,939.81,4685.0,861.0,Community transmission
Turkey,Europe,1303917.0,15460.42,136165.0,17543.0,19371.0,229.68,1761.0,256.0,Community transmission
Poland,Europe,1253957.0,33132.61,59847.0,4878.0,27061.0,715.02,1807.0,69.0,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1189203.0,14158.37,43552.0,6021.0,54440.0,648.15,1167.0,132.0,Community transmission
Ukraine,Europe,1019876.0,23320.11,63753.0,7709.0,17702.0,404.77,1233.0,121.0,Community transmission
Peru,Americas,1003982.0,30449.67,12464.0,0.0,37317.0,1131.78,416.0,0.0,Community transmission
South Africa,Africa,983359.0,16580.35,81821.0,14796.0,26276.0,443.04,1991.0,293.0,Community transmission
Netherlands,Europe,744291.0,43437.21,79984.0,11550.0,10925.0,637.59,527.0,97.0,Community transmission
Indonesia,South-East Asia,700097.0,2559.55,49900.0,7259.0,20847.0,76.22,1333.0,258.0,Community transmission
Czechia,Europe,667569.0,62337.3,48733.0,2706.0,10950.0,1022.51,679.0,91.0,Community transmission
Belgium,Europe,637246.0,54984.19,11792.0,2.0,19089.0,1647.08,482.0,6.0,Community transmission
Romania,Europe,612373.0,31831.94,29587.0,3812.0,15013.0,780.4,856.0,101.0,Community transmission
Chile,Americas,595831.0,31168.9,14696.0,2521.0,16358.0,855.71,307.0,55.0,Community transmission
Iraq,Eastern Mediterranean,589943.0,14666.99,8132.0,1140.0,12755.0,317.11,85.0,11.0,Community transmission
Canada,Americas,539298.0,14289.01,50660.0,10944.0,14781.0,391.63,865.0,184.0,Community transmission
Bangladesh,South-East Asia,507265.0,3080.13,8972.0,1163.0,7398.0,44.92,181.0,20.0,Community transmission
Philippines,Western Pacific,467601.0,4267.17,11039.0,1877.0,9062.0,82.7,187.0,7.0,Community transmission
Pakistan,Eastern Mediterranean,467222.0,2115.16,15728.0,2152.0,9753.0,44.15,589.0,85.0,Clusters of cases
Morocco,Eastern Mediterranean,428193.0,11600.83,15800.0,2329.0,7170.0,194.25,316.0,40.0,Clusters of cases
Switzerland,Europe,426199.0,49245.25,23935.0,0.0,6508.0,751.97,527.0,0.0,Community transmission
Sweden,Europe,396048.0,39215.53,28959.0,0.0,8279.0,819.76,95.0,0.0,Community transmission
Portugal,Europe,391782.0,38422.4,24830.0,4146.0,6478.0,635.3,501.0,65.0,Clusters of cases
Israel,Europe,383715.0,44331.75,15173.0,0.0,3138.0,362.54,81.0,0.0,Community transmission
Saudi Arabia,Eastern Mediterranean,361903.0,10395.37,1213.0,178.0,6168.0,177.17,67.0,9.0,Sporadic cases
Austria,Europe,347101.0,38539.38,14730.0,1750.0,5710.0,633.99,693.0,38.0,Community transmission
Serbia,Europe,320167.0,45976.14,27527.0,3823.0,2931.0,420.89,351.0,49.0,Community transmission
Hungary,Europe,315362.0,32644.98,15340.0,1198.0,8951.0,926.57,1037.0,118.0,Community transmission
Jordan,Eastern Mediterranean,285306.0,27962.58,13792.0,1616.0,3711.0,363.71,193.0,30.0,Community transmission
Nepal,South-East Asia,257200.0,8827.32,4726.0,608.0,1817.0,62.36,52.0,9.0,Clusters of cases
Panama,Americas,223674.0,51839.18,20379.0,3413.0,3715.0,861.0,234.0,51.0,Community transmission
Georgia,Europe,220508.0,55276.7,13601.0,1784.0,2352.0,589.6,297.0,39.0,Community transmission
Japan,Western Pacific,213547.0,1688.43,20516.0,3567.0,3155.0,24.95,327.0,50.0,Clusters of cases
Azerbaijan,Europe,211764.0,20885.72,16342.0,1703.0,2416.0,238.28,283.0,36.0,Clusters of cases
Ecuador,Americas,208828.0,11836.27,4579.0,818.0,13984.0,792.61,52.0,7.0,Community transmission
Croatia,Europe,204312.0,49768.26,14077.0,350.0,3613.0,880.09,590.0,65.0,Community transmission
United Arab Emirates,Eastern Mediterranean,199665.0,20187.75,8515.0,1230.0,653.0,66.02,23.0,6.0,Community transmission
Bulgaria,Europe,196915.0,28339.43,6888.0,257.0,7073.0,1017.93,577.0,50.0,Clusters of cases
Kazakhstan,Europe,196216.0,10449.97,5247.0,0.0,2669.0,142.14,60.0,0.0,Clusters of cases
Belarus,Europe,183006.0,19367.1,13358.0,1893.0,1367.0,144.67,59.0,9.0,Community transmission
Lebanon,Eastern Mediterranean,168069.0,24623.89,13125.0,2136.0,1367.0,200.28,108.0,14.0,Community transmission
Slovakia,Europe,166649.0,30523.8,17374.0,1041.0,1732.0,317.24,222.0,0.0,Clusters of cases
Dominican Republic,Americas,165035.0,15213.53,7106.0,1381.0,2404.0,221.61,28.0,0.0,Community transmission
Costa Rica,Americas,162990.0,31995.73,6602.0,1048.0,2086.0,409.49,106.0,21.0,Community transmission
Armenia,Europe,157349.0,53100.27,4176.0,586.0,2752.0,928.71,136.0,19.0,Community transmission
Bolivia (Plurinational State of),Americas,153121.0,13117.51,4456.0,1057.0,9076.0,777.52,45.0,11.0,Community transmission
Denmark,Europe,149333.0,25781.73,21012.0,2992.0,1134.0,195.78,127.0,20.0,Community transmission
Kuwait,Eastern Mediterranean,149277.0,34954.81,1746.0,260.0,926.0,216.83,10.0,0.0,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,147234.0,28861.41,11878.0,1812.0,1385.0,271.49,178.0,21.0,Community transmission
Qatar,Eastern Mediterranean,142734.0,49542.3,1018.0,129.0,244.0,84.69,2.0,1.0,Community transmission
Republic of Moldova,Europe,140250.0,34767.3,6890.0,815.0,2871.0,711.71,171.0,23.0,Community transmission
Guatemala,Americas,135080.0,7539.81,3018.0,186.0,4757.0,265.52,168.0,8.0,Community transmission
Greece,Europe,134852.0,12937.86,5268.0,617.0,4507.0,432.41,463.0,50.0,Community transmission
Egypt,Eastern Mediterranean,130126.0,1271.58,5846.0,1133.0,7309.0,71.42,268.0,49.0,Clusters of cases
Lithuania,Europe,128931.0,47361.25,19502.0,2350.0,1228.0,451.09,223.0,23.0,Community transmission
Tunisia,Eastern Mediterranean,128578.0,10879.27,10996.0,1826.0,4385.0,371.02,295.0,61.0,Community transmission
Oman,Eastern Mediterranean,128290.0,25122.26,1271.0,0.0,1491.0,291.97,8.0,0.0,Community transmission
Ethiopia,Africa,121880.0,1060.16,2855.0,481.0,1897.0,16.5,54.0,15.0,Community transmission
Myanmar,South-East Asia,119788.0,2201.59,6706.0,919.0,2532.0,46.54,155.0,25.0,Clusters of cases
Honduras,Americas,118421.0,11956.15,2947.0,385.0,3060.0,308.95,39.0,6.0,Community transmission
