WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,65257767,8359.61696041961,3936459,645231,1513179,193.8404792880943,72300,12242,
United States of America,Americas,13978171,42229.79,1214174,218671,274077,828.02,12617,2844,Community transmission
India,South-East Asia,9608211,6962.45,257102,36652,139700,101.23,3500,512,Clusters of cases
Brazil,Americas,6487084,30518.92,282864,50434,175270,824.57,3810,755,Community transmission
Russian Federation,Europe,2431731,16663.17,189098,28782,42684,292.49,3616,508,Clusters of cases
France,Europe,2228980,34148.31,71648,11107,54404,833.48,2850,625,Community transmission
The United Kingdom,Europe,1690436,24901.09,101131,16298,60617,892.92,3066,504,Community transmission
Italy,Europe,1688939,27933.97,150722,24110,58852,973.37,5175,814,Clusters of cases
Spain,Europe,1684647,36031.55,45181,4226,46252,989.25,947,49,Community transmission
Argentina,Americas,1447732,32032.46,48301,7629,39305,869.66,1364,149,Community transmission
Colombia,Americas,1343322,26400.27,62835,9233,37305,733.15,1286,188,Community transmission
Germany,Europe,1153555,13768.21,125466,23318,18517,221.01,2552,483,Clusters of cases
Mexico,Americas,1144643,8877.83,66049,11030,108173,838.99,3931,608,Community transmission
Poland,Europe,1041846,27528.12,83430,13236,19359,511.51,3212,531,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1016835,12106.19,94438,13341,49695,591.66,2600,347,Community transmission
Peru,Americas,968846,29384.03,12499,1771,36104,1094.99,319,28,Community transmission
South Africa,Africa,805804,13586.61,23863,4932,21963,370.32,585,160,Community transmission
Ukraine,Europe,801716,18331.74,92015,13825,13421,306.88,1328,226,Community transmission
Belgium,Europe,587439,50686.64,11105,4,17142,1479.08,628,13,Community transmission
Indonesia,South-East Asia,563680,2060.81,41099,5803,17479,63.9,958,124,Community transmission
Iraq,Eastern Mediterranean,560622,13938.02,13407,1855,12387,307.96,220,26,Community transmission
Chile,Americas,557135,29144.65,9912,1729,15558,813.86,280,39,Community transmission
