WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,93194922.0,11938.40804537769,4703209.0,683378.0,2014729.0,258.0897798579169,93676.0,12893.0,
United States of America,Americas,23344423.0,70526.39,1583237.0,246485.0,389084.0,1175.47,23198.0,3671.0,Community transmission
India,South-East Asia,10557985.0,7650.69,107701.0,15144.0,152274.0,110.34,1275.0,181.0,Clusters of cases
Brazil,Americas,8393492.0,39487.74,379784.0,69198.0,208246.0,979.71,6786.0,1151.0,Community transmission
Russian Federation,Europe,3568209.0,24450.76,166255.0,23586.0,65566.0,449.28,3729.0,481.0,Clusters of cases
The United Kingdom,Europe,3357365.0,49455.92,339952.0,41342.0,88590.0,1304.98,7722.0,1295.0,Community transmission
France,Europe,2846971.0,43616.02,125279.0,21207.0,69753.0,1068.63,2536.0,192.0,Community transmission
Italy,Europe,2368733.0,39177.33,110867.0,16310.0,81800.0,1352.92,3406.0,475.0,Clusters of cases
Spain,Europe,2211967.0,47309.97,93971.0,0.0,53079.0,1135.26,500.0,0.0,Community transmission
Germany,Europe,2033518.0,24270.98,124991.0,13882.0,46419.0,554.03,6076.0,445.0,Community transmission
Colombia,Americas,1870179.0,36754.57,114611.0,21078.0,47868.0,940.75,2437.0,377.0,Community transmission
Argentina,Americas,1783047.0,39451.63,79695.0,12332.0,45227.0,1000.69,954.0,102.0,Community transmission
Mexico,Americas,1609735.0,12485.07,101804.0,21366.0,139022.0,1078.25,6953.0,1106.0,Community transmission
Turkey,Europe,1566327.0,18571.78,63547.0,7550.0,23832.0,282.57,1201.0,168.0,Community transmission
Poland,Europe,1435582.0,37931.59,50060.0,5970.0,33355.0,881.32,2166.0,142.0,Community transmission
South Africa,Africa,1325659.0,22351.85,111483.0,13973.0,36851.0,621.34,4027.0,384.0,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1324395.0,15767.93,43957.0,6100.0,56717.0,675.26,617.0,96.0,Community transmission
Ukraine,Europe,1160682.0,26539.72,45656.0,5990.0,20802.0,475.65,1035.0,116.0,Community transmission
Peru,Americas,1056023.0,32028.01,26552.0,7361.0,38654.0,1172.33,509.0,90.0,Community transmission
Netherlands,Europe,906956.0,52930.42,41109.0,5340.0,12965.0,756.64,661.0,98.0,Community transmission
Indonesia,South-East Asia,896642.0,3278.12,78256.0,14224.0,25767.0,94.2,1820.0,283.0,Community transmission
Czechia,Europe,889159.0,83029.28,57994.0,5253.0,14338.0,1338.88,1223.0,123.0,Community transmission
Canada,Americas,695707.0,18433.16,51359.0,6816.0,17729.0,469.74,1022.0,191.0,Community transmission
Romania,Europe,691488.0,35944.44,23286.0,3218.0,17164.0,892.21,572.0,66.0,Community transmission
Belgium,Europe,677209.0,58432.36,11684.0,0.0,20396.0,1759.85,290.0,0.0,Community transmission
Chile,Americas,665493.0,34813.04,27751.0,4313.0,17435.0,912.05,398.0,66.0,Community transmission
Iraq,Eastern Mediterranean,607587.0,15105.65,5256.0,596.0,12935.0,321.59,54.0,3.0,Community transmission
Portugal,Europe,539416.0,52900.99,63229.0,10947.0,8709.0,854.1,1008.0,166.0,Clusters of cases
Bangladesh,South-East Asia,527063.0,3200.35,5681.0,578.0,7883.0,47.87,127.0,21.0,Community transmission
Sweden,Europe,523486.0,51834.07,28362.0,0.0,10323.0,1022.15,129.0,0.0,Community transmission
Israel,Europe,521939.0,60301.18,40456.0,0.0,3845.0,444.22,194.0,0.0,Community transmission
Pakistan,Eastern Mediterranean,516770.0,2339.47,17253.0,2432.0,10908.0,49.38,310.0,45.0,Community transmission
Philippines,Western Pacific,498691.0,4550.89,12894.0,2045.0,9884.0,90.2,486.0,8.0,Community transmission
Switzerland,Europe,492787.0,56939.17,15020.0,0.0,7930.0,916.27,349.0,0.0,Community transmission
