WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,99363697,12728.63729295541,4043559,410152,2135959,273.6195230701183,96925,10413,
United States of America,Americas,24916899,75277.04,1174840,141691,416004,1256.8,21416,1921,Community transmission
India,South-East Asia,10676838,7736.81,95001,9102,153587,111.29,1031,117,Clusters of cases
Brazil,Americas,8844577,41609.9,356478,28323,217037,1021.07,7190,592,Community transmission
Russian Federation,Europe,3756931,25743.96,144131,18241,70482,482.97,3859,564,Clusters of cases
The United Kingdom,Europe,3669662,54056.23,236164,22195,98531,1451.42,8671,592,Community transmission
France,Europe,3007706,46078.51,141041,4012,73101,1119.92,2806,445,Community transmission
Spain,Europe,2593382,55467.74,203041,8456,56208,1202.19,1445,119,Community transmission
Italy,Europe,2475372,40941.07,85270,8559,85881,1420.42,3327,420,Clusters of cases
Turkey,Europe,2435247,28874.48,42284,5642,25210,298.91,1049,137,Community transmission
Germany,Europe,2148077,25638.29,96049,6412,52990,632.46,5368,903,Community transmission
Colombia,Americas,2015485,39610.27,107072,12516,51374,1009.65,2743,392,Community transmission
Argentina,Americas,1867223,41314.11,67980,5031,46827,1036.09,1420,90,Community transmission
Mexico,Americas,1763219,13675.49,121791,10872,149614,1160.4,8910,530,Community transmission
Poland,Europe,1482722,39177.14,38918,4603,35665,942.36,1967,264,Community transmission
South Africa,Africa,1417537,23901.0,70601,4551,41117,693.27,3668,243,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1379286,16421.45,43069,6309,57481,684.36,595,98,Community transmission
Ukraine,Europe,1197107,27372.61,29452,2779,22057,504.35,1011,133,Community transmission
Peru,Americas,1099013,33331.85,34104,5075,39777,1206.39,906,169,Community transmission
Indonesia,South-East Asia,999256,3653.27,82241,9994,28132,102.85,1850,297,Community transmission
Netherlands,Europe,952950,55614.66,35965,4129,13579,792.48,532,40,Community transmission
Czechia,Europe,946946,88425.41,47443,6942,15618,1458.4,972,165,Community transmission
Canada,Americas,747383,19802.34,38764,4852,19094,505.91,1080,120,Community transmission
Romania,Europe,712561,37039.84,17408,1551,17841,927.4,570,65,Community transmission
Chile,Americas,703178,36784.4,29428,4068,17999,941.56,452,66,Community transmission
Belgium,Europe,694858,59955.19,11594,0,20814,1795.92,284,0,Community transmission
Portugal,Europe,643113,63070.64,86610,6923,10721,1051.42,1693,252,Clusters of cases
Iraq,Eastern Mediterranean,614576,15279.41,5547,813,13000,323.2,47,7,Community transmission
Israel,Europe,599390,69249.33,48892,4924,4432,512.04,360,69,Community transmission
