WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,67780361,8682.765001734793,4258473,546703,1551214,198.712819328316,74310,10132,
United States of America,Americas,14755996,44579.69,1370241,185473,281442,850.27,15399,1529,Community transmission
India,South-East Asia,9735850,7054.94,236437,32080,141360,102.43,3238,402,Clusters of cases
Brazil,Americas,6623911,31162.63,288033,20371,177317,834.2,4197,376,Community transmission
Russian Federation,Europe,2541199,17413.29,193798,26190,44718,306.43,3665,559,Clusters of cases
France,Europe,2269668,34771.65,78394,13713,55986,857.71,2840,828,Community transmission
Italy,Europe,1757394,29066.17,136493,14837,61240,1012.87,4879,634,Clusters of cases
The United Kingdom,Europe,1750245,25782.12,107155,12281,62033,913.78,2982,599,Community transmission
Spain,Europe,1702328,36409.71,36052,0,46646,997.67,598,0,Community transmission
Argentina,Americas,1466309,32443.5,41776,3199,39888,882.56,1158,118,Community transmission
Colombia,Americas,1377100,27064.11,60294,5997,37995,746.71,1229,187,Community transmission
Germany,Europe,1218524,14543.65,133781,20815,19932,237.9,2809,590,Clusters of cases
Mexico,Americas,1182249,9169.5,68706,6399,110074,853.73,4134,357,Community transmission
Poland,Europe,1076180,28435.31,76256,8310,20592,544.09,2993,411,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1062397,12648.65,86446,11023,50917,606.21,2289,323,Community transmission
Peru,Americas,975116,29574.19,11511,1204,36324,1101.67,358,50,Community transmission
Turkey,Europe,872093,10340.32,224673,33198,15314,181.58,1378,211,Community transmission
Ukraine,Europe,845343,19329.3,87079,12585,14204,324.78,1487,276,Community transmission
South Africa,Africa,821889,13857.82,29590,4011,22432,378.22,788,183,Community transmission
Belgium,Europe,594572,51302.1,10665,3,17507,1510.58,550,10,Community transmission
Indonesia,South-East Asia,586842,2145.49,42867,5292,18000,65.81,919,133,Community transmission
Netherlands,Europe,569747,33250.73,42870,6139,9762,569.72,337,71,Community transmission
Iraq,Eastern Mediterranean,568138,14124.88,13371,2123,12477,310.2,171,17,Community transmission
Chile,Americas,563534,29479.39,10670,1392,15680,820.25,250,17,Community transmission
Czechia,Europe,556927,52005.6,28453,5857,9136,853.12,729,100,Community transmission
Romania,Europe,524675,27273.28,45041,7439,12660,658.08,1130,213,Community transmission
