WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,69143017,8857.32326096572,4330783,692166,1576516,201.9540431405335,75017,13141,
United States of America,Americas,15203208,45930.77,1443708,230852,287384,868.22,16151,3390,Community transmission
India,South-East Asia,9796769,7099.09,225210,29398,142186,103.03,2998,414,Clusters of cases
Brazil,Americas,6728452,31654.45,291802,53453,178995,842.09,4480,836,Community transmission
Russian Federation,Europe,2597711,17800.53,194762,28585,45893,314.48,3717,613,Clusters of cases
France,Europe,2297425,35196.9,79552,13673,56572,866.69,2793,292,Community transmission
The United Kingdom,Europe,1787787,26335.13,113649,20964,63082,929.23,2969,516,Community transmission
Italy,Europe,1787147,29558.27,122318,16998,62626,1035.79,4588,887,Clusters of cases
Spain,Europe,1720056,36788.88,35694,7955,47344,1012.6,855,325,Community transmission
Argentina,Americas,1475222,32640.71,35119,5303,40222,889.95,1066,213,Community transmission
Colombia,Americas,1392133,27359.55,58044,7523,38308,752.87,1191,150,Community transmission
Germany,Europe,1272078,15182.84,141841,29875,20970,250.29,2936,598,Clusters of cases
Mexico,Americas,1205229,9347.73,71616,11974,111655,865.99,4090,781,Community transmission
Poland,Europe,1102096,29120.07,73486,13750,21630,571.52,2802,470,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1083023,12894.21,79529,10403,51496,613.1,2148,284,Community transmission
Peru,Americas,977312,29640.8,10237,691,36455,1105.64,379,54,Community transmission
Turkey,Europe,934229,11077.06,222505,30424,15751,186.76,1435,220,Community transmission
Ukraine,Europe,872228,19944.04,84337,13514,14755,337.38,1560,285,Community transmission
South Africa,Africa,836764,14108.62,35892,8166,22747,383.54,944,173,Community transmission
Belgium,Europe,600397,51804.7,11521,3,17692,1526.54,523,6,Community transmission
Indonesia,South-East Asia,598933,2189.69,41056,6033,18336,67.04,981,165,Community transmission
Netherlands,Europe,585064,34144.64,47667,8793,9892,577.3,340,64,Community transmission
Iraq,Eastern Mediterranean,571253,14202.33,12486,1380,12526,311.42,165,25,Community transmission
Czechia,Europe,569205,53152.12,31542,5872,9341,872.26,700,115,Community transmission
Chile,Americas,566440,29631.41,11034,1662,15774,825.16,255,84,Community transmission
Romania,Europe,539107,28023.48,46896,7067,12948,673.05,1072,127,Community transmission
Bangladesh,South-East Asia,485965,2950.8,14226,1861,6967,42.3,219,37,Community transmission
Philippines,Western Pacific,445540,4065.85,10127,1376,8701,79.4,255,24,Community transmission
