WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,88383771.0,11322.09245035066,4950066.0,790456.0,1919126.0,245.8428934410557,85653.0,12454.0,
United States of America,Americas,21761186.0,65743.24,1786773.0,313516.0,365886.0,1105.39,20633.0,3599.0,Community transmission
India,South-East Asia,10450284.0,7572.65,126319.0,36867.0,150999.0,109.42,1564.0,429.0,Clusters of cases
Brazil,Americas,8013708.0,37701.03,313130.0,52035.0,201460.0,947.78,6049.0,962.0,Community transmission
Russian Federation,Europe,3401954.0,23311.52,165167.0,22851.0,61837.0,423.73,3331.0,456.0,Clusters of cases
The United Kingdom,Europe,3017413.0,44448.23,417620.0,59937.0,80868.0,1191.23,6298.0,1035.0,Community transmission
France,Europe,2721692.0,41696.73,122565.0,20034.0,67217.0,1029.77,2674.0,168.0,Community transmission
Italy,Europe,2257866.0,37343.66,116665.0,19976.0,78394.0,1296.59,3409.0,483.0,Clusters of cases
Spain,Europe,2025560.0,43323.06,59253.0,0.0,51690.0,1105.56,354.0,0.0,Community transmission
Germany,Europe,1908527.0,22779.15,142861.0,16946.0,40343.0,481.51,6071.0,465.0,Community transmission
Colombia,Americas,1755568.0,34502.13,100688.0,18221.0,45431.0,892.85,1936.0,364.0,Community transmission
Argentina,Americas,1703352.0,37688.3,73758.0,13346.0,44273.0,979.58,954.0,151.0,Community transmission
Mexico,Americas,1507931.0,11695.48,70746.0,14362.0,132069.0,1024.32,5562.0,1038.0,Community transmission
Turkey,Europe,1502780.0,17818.31,85083.0,9537.0,22631.0,268.33,1336.0,181.0,Community transmission
Poland,Europe,1385522.0,36608.88,66960.0,9133.0,31189.0,824.09,2070.0,178.0,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1280438.0,15244.59,42964.0,5924.0,56100.0,667.91,662.0,82.0,Community transmission
South Africa,Africa,1214176.0,20472.14,125287.0,21606.0,32824.0,553.44,3649.0,399.0,Community transmission
Ukraine,Europe,1115026.0,25495.77,40933.0,5011.0,19767.0,451.98,913.0,99.0,Community transmission
Peru,Americas,1029471.0,31222.72,12272.0,2781.0,38145.0,1156.9,421.0,96.0,Community transmission
Netherlands,Europe,866235.0,50553.92,52810.0,7383.0,12307.0,718.24,751.0,139.0,Community transmission
Czechia,Europe,831165.0,77613.83,90684.0,8449.0,13115.0,1224.67,1155.0,137.0,Community transmission
Indonesia,South-East Asia,818386.0,2992.01,59913.0,10046.0,23947.0,87.55,1392.0,194.0,Community transmission
Romania,Europe,668202.0,34734.0,30807.0,4423.0,16592.0,862.47,673.0,86.0,Community transmission
Belgium,Europe,662694.0,57179.94,12023.0,3.0,20038.0,1728.96,306.0,6.0,Community transmission
Canada,Americas,644348.0,17072.37,56071.0,9214.0,16707.0,442.66,966.0,128.0,Community transmission
Chile,Americas,637742.0,33361.34,21840.0,4361.0,17037.0,891.23,313.0,63.0,Community transmission
Iraq,Eastern Mediterranean,602331.0,14974.98,5298.0,907.0,12881.0,320.24,52.0,4.0,Community transmission
Bangladesh,South-East Asia,521382.0,3165.85,6198.0,692.0,7756.0,47.09,157.0,22.0,Community transmission
Pakistan,Eastern Mediterranean,499517.0,2261.36,15155.0,2007.0,10598.0,47.98,340.0,40.0,Clusters of cases
Sweden,Europe,489471.0,48466.0,32004.0,0.0,9433.0,934.03,69.0,0.0,Community transmission
Philippines,Western Pacific,485797.0,4433.22,8881.0,1945.0,9398.0,85.76,145.0,34.0,Community transmission
Israel,Europe,481306.0,55606.73,49605.0,8094.0,3631.0,419.5,250.0,53.0,Community transmission
Portugal,Europe,476187.0,46700.07,52317.0,9478.0,7701.0,755.24,656.0,111.0,Clusters of cases
Switzerland,Europe,475604.0,54953.76,20737.0,0.0,7545.0,871.79,402.0,0.0,Community transmission
Morocco,Eastern Mediterranean,451637.0,12235.98,9496.0,1416.0,7709.0,208.86,257.0,24.0,Clusters of cases
Austria,Europe,378110.0,41982.38,15147.0,2446.0,6614.0,734.37,400.0,42.0,Community transmission
Saudi Arabia,Eastern Mediterranean,363692.0,10446.76,713.0,110.0,6286.0,180.56,47.0,4.0,Sporadic cases
Serbia,Europe,357894.0,51393.76,15990.0,1769.0,3548.0,509.49,260.0,35.0,Community transmission
Hungary,Europe,342237.0,35426.97,14242.0,1778.0,10648.0,1102.24,764.0,94.0,Community transmission
Jordan,Eastern Mediterranean,305959.0,29986.77,9291.0,796.0,4009.0,392.92,132.0,20.0,Community transmission
Japan,Western Pacific,280775.0,2219.98,39821.0,7621.0,3996.0,31.59,448.0,64.0,Clusters of cases
Panama,Americas,273037.0,63279.66,23304.0,3946.0,4363.0,1011.18,299.0,42.0,Community transmission
Nepal,South-East Asia,264521.0,9078.59,3083.0,362.0,1912.0,65.62,42.0,3.0,Clusters of cases
Georgia,Europe,239229.0,59969.66,10060.0,1143.0,2773.0,695.13,170.0,23.0,Community transmission
United Arab Emirates,Eastern Mediterranean,227702.0,23022.52,16061.0,2998.0,702.0,70.98,28.0,5.0,Community transmission
Azerbaijan,Europe,224050.0,22097.45,4588.0,633.0,2890.0,285.03,187.0,21.0,Clusters of cases
Ecuador,Americas,220349.0,12489.28,5836.0,1201.0,14177.0,803.55,118.0,12.0,Community transmission
Croatia,Europe,219993.0,53587.99,7035.0,646.0,4368.0,1064.0,296.0,26.0,Community transmission
Lebanon,Eastern Mediterranean,215553.0,31580.8,29145.0,5414.0,1590.0,232.95,114.0,20.0,Community transmission
Belarus,Europe,210368.0,22262.76,12243.0,1767.0,1507.0,159.48,65.0,9.0,Community transmission
Bulgaria,Europe,208406.0,29993.19,5526.0,394.0,8097.0,1165.3,453.0,19.0,Clusters of cases
Slovakia,Europe,208209.0,38136.02,20746.0,2973.0,2918.0,534.47,601.0,82.0,Clusters of cases
Kazakhstan,Europe,207711.0,11062.16,4148.0,0.0,2845.0,151.52,0.0,0.0,Clusters of cases
Dominican Republic,Americas,180644.0,16652.42,7679.0,2106.0,2424.0,223.45,8.0,0.0,Community transmission
Denmark,Europe,180240.0,31117.7,12699.0,1743.0,1542.0,266.22,197.0,25.0,Community transmission
Costa Rica,Americas,177614.0,34866.49,7023.0,1207.0,2305.0,452.48,112.0,19.0,Community transmission
Bolivia (Plurinational State of),Americas,171154.0,14662.36,9099.0,2263.0,9328.0,799.11,142.0,24.0,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,165250.0,32392.98,7371.0,855.0,1735.0,340.1,157.0,28.0,Community transmission
Armenia,Europe,162131.0,54714.04,2104.0,337.0,2929.0,988.44,79.0,7.0,Community transmission
Lithuania,Europe,159672.0,58653.58,13035.0,1492.0,2197.0,807.04,554.0,26.0,Community transmission
Tunisia,Eastern Mediterranean,157514.0,13327.61,15535.0,2611.0,5153.0,436.01,388.0,45.0,Community transmission
Kuwait,Eastern Mediterranean,153900.0,36037.34,2826.0,427.0,942.0,220.58,5.0,2.0,Community transmission
Republic of Moldova,Europe,149093.0,36959.44,3399.0,424.0,3130.0,775.91,110.0,8.0,Community transmission
Egypt,Eastern Mediterranean,148799.0,1454.05,7921.0,989.0,8142.0,79.56,401.0,57.0,Clusters of cases
Qatar,Eastern Mediterranean,145672.0,50562.07,1432.0,206.0,246.0,85.39,1.0,0.0,Community transmission
Greece,Europe,144293.0,13843.64,4584.0,799.0,5227.0,501.48,306.0,32.0,Community transmission
Guatemala,Americas,143127.0,7988.97,4811.0,1063.0,4999.0,279.03,172.0,27.0,Community transmission
Ireland,Europe,140727.0,28500.02,43801.0,4843.0,2336.0,473.09,84.0,9.0,Community transmission
Slovenia,Europe,139281.0,66996.23,14195.0,763.0,3147.0,1513.75,258.0,6.0,Clusters of cases
Malaysia,Western Pacific,133559.0,4126.52,16186.0,2451.0,542.0,16.75,59.0,5.0,Clusters of cases
Oman,Eastern Mediterranean,130070.0,25470.83,1203.0,0.0,1505.0,294.72,6.0,0.0,Community transmission
Myanmar,South-East Asia,130049.0,2390.18,4433.0,566.0,2826.0,51.94,115.0,14.0,Clusters of cases
Ethiopia,Africa,127792.0,1111.59,2743.0,220.0,1985.0,17.27,41.0,11.0,Community transmission
Honduras,Americas,126396.0,12761.33,3422.0,839.0,3266.0,329.75,106.0,22.0,Community transmission
Venezuela (Bolivarian Republic of),Americas,115667.0,4067.63,2105.0,345.0,1056.0,37.14,28.0,4.0,Community transmission
Bosnia and Herzegovina,Europe,115379.0,35167.74,3034.0,459.0,4305.0,1312.17,205.0,20.0,Community transmission
Paraguay,Americas,113994.0,15982.25,5645.0,1138.0,2372.0,332.56,110.0,20.0,Community transmission
Libya,Eastern Mediterranean,104002.0,15135.73,3258.0,0.0,1568.0,228.2,81.0,0.0,Community transmission
Algeria,Africa,101913.0,2324.07,1754.0,256.0,2803.0,63.92,34.0,5.0,Community transmission
Kenya,Africa,98184.0,1825.96,1506.0,230.0,1704.0,31.69,19.0,1.0,Community transmission
China,Western Pacific,97518.0,66.28,624.0,131.0,4798.0,3.26,7.0,2.0,Clusters of cases
Nigeria,Africa,97478.0,472.87,8315.0,0.0,1342.0,6.51,40.0,0.0,Community transmission
Bahrain,Eastern Mediterranean,95317.0,56016.93,2133.0,287.0,355.0,208.63,3.0,1.0,Clusters of cases
North Macedonia,Europe,86150.0,41351.07,2361.0,556.0,2614.0,1254.69,92.0,22.0,Community transmission
Puerto Rico,Americas,82630.0,28882.99,4698.0,563.0,1616.0,564.87,90.0,24.0,Community transmission
Kyrgyzstan,Europe,82273.0,12610.44,968.0,135.0,1369.0,209.83,10.0,2.0,Clusters of cases
Uzbekistan,Europe,77572.0,2317.71,334.0,42.0,617.0,18.43,3.0,1.0,Clusters of cases
Republic of Korea,Western Pacific,68664.0,1339.28,5421.0,665.0,1125.0,21.94,163.0,25.0,Clusters of cases
Albania,Europe,63033.0,21903.21,4042.0,655.0,1233.0,428.45,43.0,3.0,Clusters of cases
