WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,75704857.0,9697.904719346909,4592404.0,575551.0,1690061.0,216.499326428741,79172.0,9267.0,
United States of America,Americas,17515091.0,52915.26,1654416.0,200257.0,313748.0,947.87,18342.0,2598.0,Community transmission
India,South-East Asia,10055560.0,7286.61,171460.0,24337.0,145810.0,105.66,2455.0,333.0,Clusters of cases
Brazil,Americas,7213155.0,33934.77,333028.0,50177.0,186356.0,876.72,5233.0,706.0,Community transmission
Russian Federation,Europe,2877727.0,19719.31,196471.0,29350.0,51351.0,351.88,3960.0,493.0,Clusters of cases
France,Europe,2431237.0,37246.92,95101.0,12798.0,60174.0,921.87,2632.0,131.0,Community transmission
The United Kingdom,Europe,2040151.0,30052.6,190744.0,35928.0,67401.0,992.86,3231.0,326.0,Community transmission
Italy,Europe,1953185.0,32304.43,109473.0,15102.0,68799.0,1137.89,4279.0,352.0,Clusters of cases
Spain,Europe,1797236.0,38439.62,38697.0,0.0,48926.0,1046.44,457.0,0.0,Community transmission
Argentina,Americas,1537169.0,34011.34,42567.0,5795.0,41763.0,924.05,1095.0,91.0,Community transmission
Germany,Europe,1510652.0,18030.33,173574.0,16643.0,26275.0,313.6,4300.0,226.0,Clusters of cases
Colombia,Americas,1496062.0,29402.06,78990.0,13990.0,40268.0,791.39,1402.0,249.0,Community transmission
Mexico,Americas,1313675.0,10188.84,72239.0,12129.0,117876.0,914.24,4172.0,627.0,Community transmission
Turkey,Europe,1210263.0,14349.97,187873.0,20316.0,18097.0,214.57,1680.0,246.0,Community transmission
Poland,Europe,1207333.0,31900.69,71657.0,4633.0,25474.0,673.09,2610.0,77.0,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1158384.0,13791.44,50115.0,6312.0,53625.0,638.45,1429.0,177.0,Community transmission
Peru,Americas,995899.0,30204.52,12854.0,2139.0,37034.0,1123.2,425.0,65.0,Community transmission
Ukraine,Europe,970993.0,22202.37,70327.0,6545.0,16665.0,381.06,1418.0,80.0,Community transmission
South Africa,Africa,921922.0,15544.47,60958.0,9445.0,24691.0,416.31,1415.0,152.0,Community transmission
Netherlands,Europe,689655.0,40248.62,76591.0,13066.0,10486.0,611.97,447.0,32.0,Community transmission
Indonesia,South-East Asia,664930.0,2430.98,47110.0,6982.0,19880.0,72.68,1061.0,221.0,Community transmission
Czechia,Europe,627523.0,58597.83,46444.0,3383.0,10411.0,972.17,802.0,80.0,Community transmission
