WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,66422058,8508.764368274735,4008417,549946,1532418,196.3050237874718,74085,8768,
United States of America,Americas,14397135,43495.53,1314258,205837,278806,842.31,14860,2303,Community transmission
India,South-East Asia,9677203,7012.44,245512,32981,140573,101.86,3434,391,Clusters of cases
Brazil,Americas,6577177,30942.77,286905,43209,176628,830.96,4067,664,Community transmission
Russian Federation,Europe,2488912,17055.0,193258,28142,43597,298.74,3702,456,Clusters of cases
France,Europe,2252852,34514.03,73371,11022,54792,839.42,2827,174,Community transmission
Italy,Europe,1728878,28594.54,143700,18887,60078,993.65,5174,564,Clusters of cases
The United Kingdom,Europe,1723246,25384.41,105915,17271,61245,902.17,3000,231,Community transmission
Spain,Europe,1684647,36031.55,30547,0,46252,989.25,611,0,Community transmission
Argentina,Americas,1459832,32300.19,46457,5201,39632,876.9,1310,120,Community transmission
Colombia,Americas,1362249,26772.24,62636,9642,37633,739.6,1232,166,Community transmission
Germany,Europe,1183654,14127.46,129785,12332,18919,225.81,2671,147,Clusters of cases
Mexico,Americas,1168395,9062.05,67712,11625,109456,848.94,3997,593,Community transmission
Poland,Europe,1063449,28098.92,78374,9176,20089,530.8,3060,228,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1040547,12388.5,91798,11561,50310,598.98,2435,294,Community transmission
Peru,Americas,972688,29500.56,12320,1828,36231,1098.85,352,36,Community transmission
Ukraine,Europe,821947,18794.34,89322,8641,13733,314.01,1406,145,Community transmission
South Africa,Africa,814565,13734.33,26863,4116,22206,374.41,729,139,Community transmission
Belgium,Europe,591756,51059.12,13821,4,17320,1494.44,571,4,Community transmission
Indonesia,South-East Asia,575796,2105.11,41530,6089,17740,64.86,925,151,Community transmission
Iraq,Eastern Mediterranean,564200,14026.98,13765,1680,12432,309.08,208,21,Community transmission
Chile,Americas,560382,29314.51,9952,1714,15628,817.53,272,36,Community transmission
Netherlands,Europe,556553,32480.72,38280,6769,9674,564.58,338,25,Community transmission
Czechia,Europe,546833,51063.03,27110,2654,8902,831.26,764,87,Community transmission
Turkey,Europe,539291,6394.32,44940,6093,14900,176.67,1342,195,Community transmission
Romania,Europe,513576,26696.34,42040,5231,12320,640.41,1127,134,Community transmission
Bangladesh,South-East Asia,477545,2899.67,15138,1666,6838,41.52,229,31,Community transmission
Philippines,Western Pacific,439834,4013.78,9970,1765,8554,78.06,181,28,Community transmission
Pakistan,Eastern Mediterranean,416499,1885.53,21314,3308,8361,37.85,376,58,Clusters of cases
Canada,Americas,408921,10834.6,44111,6352,12589,333.55,613,93,Community transmission
Morocco,Eastern Mediterranean,379657,10285.86,25854,2919,6245,169.19,456,61,Clusters of cases
Saudi Arabia,Eastern Mediterranean,358713,10303.74,1585,187,5965,171.34,81,11,Sporadic cases
Switzerland,Europe,343101,39643.67,20249,0,4832,558.31,467,0,Community transmission
Israel,Europe,342929,39619.62,8028,0,2906,335.74,48,0,Community transmission
Portugal,Europe,322474,31625.3,27675,3834,4963,486.73,536,87,Clusters of cases
Austria,Europe,300976,33418.02,22794,2745,3732,414.37,828,58,Community transmission
Sweden,Europe,278912,27617.06,24074,0,7067,699.75,108,0,Community transmission
Hungary,Europe,254148,26308.36,37026,3870,5984,619.44,1161,116,Community transmission
Nepal,South-East Asia,240981,8270.67,9003,1096,1594,54.71,115,17,Clusters of cases
Jordan,Eastern Mediterranean,240089,23530.91,25782,2576,3056,299.52,362,46,Community transmission
Serbia,Europe,219652,31542.14,50438,5809,1949,279.88,400,58,Community transmission
Ecuador,Americas,197998,11222.43,5881,607,13778,780.93,355,22,Community transmission
Kazakhstan,Europe,179344,9551.41,4781,0,2477,131.92,0,0,Clusters of cases
United Arab Emirates,Eastern Mediterranean,176429,17838.41,8676,1153,592,59.86,22,3,Community transmission
Panama,Americas,175907,40768.6,12454,2300,3173,735.38,134,19,Community transmission
Georgia,Europe,164976,41356.0,29392,2501,1540,386.05,273,36,Community transmission
Japan,Western Pacific,162067,1281.4,15307,1969,2335,18.46,216,20,Clusters of cases
Bulgaria,Europe,161421,23231.24,18935,577,4797,690.37,983,68,Clusters of cases
Croatia,Europe,150353,36624.41,23741,2899,2174,529.56,462,72,Community transmission
Dominican Republic,Americas,148453,13684.94,4980,798,2345,216.17,15,0,Community transmission
Belarus,Europe,147157,15573.28,12149,1878,1207,127.73,56,9,Community transmission
Azerbaijan,Europe,146679,14466.56,28484,4356,1632,160.96,271,39,Clusters of cases
Bolivia (Plurinational State of),Americas,145492,12463.95,900,167,8992,770.32,43,5,Community transmission
Kuwait,Eastern Mediterranean,144369,33805.55,1943,205,891,208.64,13,2,Community transmission
Costa Rica,Americas,143685,28206.06,6592,0,1773,348.05,83,0,Community transmission
Armenia,Europe,142344,48036.56,7220,407,2344,791.03,180,18,Community transmission
Qatar,Eastern Mediterranean,139908,48561.41,1260,125,239,82.96,2,0,Community transmission
Lebanon,Eastern Mediterranean,137112,20088.36,10209,1236,1099,161.02,95,9,Community transmission
Guatemala,Americas,125550,7007.87,3579,198,4250,237.22,84,11,Community transmission
Oman,Eastern Mediterranean,124886,24455.68,1402,557,1444,282.77,26,9,Community transmission
