WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,91816091.0,11761.77774460211,4981669.0,709865.0,1986871.0,254.5211286461252,94362.0,15407.0,
United States of America,Americas,22871330.0,69097.12,1700855.0,225573.0,381522.0,1152.63,23411.0,4076.0,Community transmission
India,South-East Asia,10527683.0,7628.73,114266.0,15590.0,151918.0,110.09,1348.0,191.0,Clusters of cases
Brazil,Americas,8256536.0,38843.43,382706.0,60899.0,205964.0,968.97,6990.0,1274.0,Community transmission
Russian Federation,Europe,3520531.0,24124.06,164737.0,24715.0,64495.0,441.94,3584.0,555.0,Clusters of cases
The United Kingdom,Europe,3260262.0,48025.54,370839.0,48682.0,86015.0,1267.05,7507.0,1248.0,Community transmission
France,Europe,2804780.0,42969.65,122530.0,20872.0,68928.0,1055.99,2468.0,280.0,Community transmission
Italy,Europe,2336279.0,38640.56,115918.0,17243.0,80848.0,1337.17,3557.0,522.0,Clusters of cases
Spain,Europe,2211967.0,47309.97,146207.0,16403.0,53079.0,1135.26,771.0,34.0,Community transmission
Germany,Europe,2000958.0,23882.36,134071.0,22368.0,44994.0,537.02,6199.0,1113.0,Community transmission
Colombia,Americas,1831980.0,36003.85,112209.0,15898.0,47124.0,926.13,2401.0,342.0,Community transmission
Argentina,Americas,1757429.0,38884.81,81258.0,12725.0,44983.0,995.29,1007.0,135.0,Community transmission
Mexico,Americas,1571901.0,12191.63,92066.0,15873.0,136917.0,1061.93,6930.0,1235.0,Community transmission
Turkey,Europe,1550463.0,18383.69,68699.0,8962.0,23495.0,278.58,1231.0,170.0,Community transmission
Poland,Europe,1422320.0,37581.17,56675.0,7958.0,32844.0,867.82,2270.0,388.0,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1311810.0,15618.1,43547.0,6471.0,56538.0,673.13,605.0,81.0,Community transmission
South Africa,Africa,1296806.0,21865.36,126216.0,18503.0,35852.0,604.5,4043.0,712.0,Community transmission
Ukraine,Europe,1146963.0,26226.03,41794.0,8199.0,20542.0,469.71,954.0,166.0,Community transmission
Peru,Americas,1043640.0,31652.45,19208.0,3409.0,38473.0,1166.84,482.0,134.0,Community transmission
Netherlands,Europe,895687.0,52272.76,45247.0,6575.0,12774.0,745.5,695.0,89.0,Community transmission
Czechia,Europe,874605.0,81670.24,65004.0,8083.0,14029.0,1310.02,1229.0,173.0,Community transmission
Indonesia,South-East Asia,869600.0,3179.25,71877.0,11557.0,25246.0,92.3,1726.0,295.0,Community transmission
Romania,Europe,684917.0,35602.87,25959.0,3525.0,17035.0,885.5,625.0,66.0,Community transmission
Canada,Americas,681328.0,18052.18,54529.0,6855.0,17383.0,460.57,1014.0,150.0,Community transmission
Belgium,Europe,672886.0,58059.35,10763.0,1.0,20294.0,1751.05,295.0,7.0,Community transmission
Chile,Americas,656712.0,34353.69,27536.0,4187.0,17294.0,904.68,381.0,90.0,Community transmission
Iraq,Eastern Mediterranean,606186.0,15070.82,5431.0,770.0,12922.0,321.26,53.0,7.0,Community transmission
Bangladesh,South-East Asia,525723.0,3192.21,5818.0,813.0,7849.0,47.66,131.0,16.0,Community transmission
Israel,Europe,521939.0,60301.18,56259.0,9416.0,3845.0,444.22,287.0,50.0,Community transmission
Sweden,Europe,518783.0,51368.39,36507.0,6600.0,10185.0,1008.49,152.0,3.0,Community transmission
Portugal,Europe,517806.0,50781.68,61273.0,10698.0,8384.0,822.23,912.0,148.0,Clusters of cases
