WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,79232555.0,10149.80807718075,4068621.0,434779.0,1754493.0,224.753161408932,72730.0,7393.0,
United States of America,Americas,18648989.0,56340.91,1334155.0,145489.0,328014.0,990.97,16864.0,1692.0,Community transmission
India,South-East Asia,10187850.0,7382.48,156627.0,18732.0,147622.0,106.97,2145.0,279.0,Clusters of cases
Brazil,Americas,7448560.0,35042.25,285582.0,22967.0,190488.0,896.16,4838.0,482.0,Community transmission
Russian Federation,Europe,3050248.0,20901.49,201871.0,28284.0,54778.0,375.36,3920.0,552.0,Clusters of cases
France,Europe,2507532.0,38415.77,89093.0,2458.0,62197.0,952.87,2154.0,146.0,Community transmission
The United Kingdom,Europe,2256009.0,33232.31,251786.0,34693.0,70405.0,1037.11,3330.0,210.0,Community transmission
Italy,Europe,2038759.0,33719.77,100676.0,10405.0,71620.0,1184.55,3173.0,261.0,Clusters of cases
Spain,Europe,1854951.0,39674.04,36436.0,0.0,49824.0,1065.65,384.0,0.0,Community transmission
Germany,Europe,1640858.0,19584.4,146849.0,13755.0,29778.0,355.41,3729.0,356.0,Clusters of cases
Colombia,Americas,1574707.0,30947.67,92635.0,14941.0,41690.0,819.33,1671.0,236.0,Community transmission
Argentina,Americas,1574554.0,34838.52,43180.0,2874.0,42422.0,938.63,750.0,30.0,Community transmission
Mexico,Americas,1372243.0,10643.09,70697.0,9679.0,121837.0,944.97,4588.0,665.0,Community transmission
Turkey,Europe,1319035.0,15639.67,129088.0,15118.0,19624.0,232.68,1773.0,253.0,Community transmission
Poland,Europe,1257799.0,33234.12,55099.0,3842.0,27118.0,716.52,1721.0,57.0,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1194963.0,14226.94,42891.0,5760.0,54574.0,649.75,1126.0,134.0,Community transmission
Ukraine,Europe,1025989.0,23459.88,61541.0,6113.0,17774.0,406.41,1189.0,72.0,Community transmission
Peru,Americas,1005546.0,30497.1,11786.0,1564.0,37368.0,1133.33,399.0,51.0,Community transmission
