WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,100455529,12868.50259519796,3956652,562001,2166440,277.5241844810819,98562,16061,
United States of America,Americas,25198841,76128.82,1161605,148533,421570,1273.62,23135,3681,Community transmission
India,South-East Asia,10701193,7754.46,90310,11666,153847,111.48,978,123,Clusters of cases
Brazil,Americas,8933356,42027.57,359492,61963,218878,1029.73,7387,1214,Community transmission
Russian Federation,Europe,3793810,25996.67,137971,19138,71651,490.98,3819,575,Clusters of cases
The United Kingdom,Europe,3715058,54724.94,209300,25308,101887,1500.85,8597,1725,Community transmission
France,Europe,3056198,46821.41,139621,26406,74062,1134.64,2801,349,Community transmission
Spain,Europe,2670102,57108.64,194480,17871,57291,1225.35,1681,87,Community transmission
Italy,Europe,2501147,41367.37,86981,15191,86889,1437.09,3208,467,Clusters of cases
Turkey,Europe,2449839,29047.5,43623,7489,25476,302.07,989,132,Community transmission
Germany,Europe,2178828,26005.32,90428,17549,54913,655.41,5130,941,Community transmission
Colombia,Americas,2041352,40118.63,102281,13606,52128,1024.47,2726,381,Community transmission
Argentina,Americas,1885210,41712.09,65641,10409,47253,1045.52,1187,219,Community transmission
Mexico,Americas,1788905,13874.71,120509,17165,152016,1179.03,9184,1743,Community transmission
Poland,Europe,1496665,39545.55,38910,7153,36443,962.91,1882,389,Community transmission
South Africa,Africa,1430648,24122.06,61222,7070,42550,717.43,3696,753,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1392314,16576.56,43998,6608,57651,686.38,594,91,Community transmission
Ukraine,Europe,1206412,27585.37,28791,5529,22351,511.07,852,149,Community transmission
Peru,Americas,1107239,33581.34,34025,4444,40107,1216.4,1063,220,Community transmission
Indonesia,South-East Asia,1024298,3744.82,84350,11948,28855,105.49,1998,387,Community transmission
Czechia,Europe,964660,90079.53,47301,8505,15944,1488.84,971,153,Community transmission
Netherlands,Europe,961593,56119.07,34802,4774,13733,801.46,495,69,Community transmission
Canada,Americas,757022,20057.73,37271,4011,19403,514.09,1137,165,Community transmission
Romania,Europe,718612,37354.38,17714,3174,18015,936.44,530,77,Community transmission
Chile,Americas,709888,37135.41,29148,3388,18040,943.7,446,17,Community transmission
Belgium,Europe,699662,60369.69,11372,0,20933,1806.18,289,0,Community transmission
Portugal,Europe,668951,65604.6,87346,15073,11305,1108.69,1840,293,Clusters of cases
Iraq,Eastern Mediterranean,616259,15321.25,5661,879,13018,323.65,50,8,Community transmission
Israel,Europe,615928,71160.01,46713,7824,4562,527.06,397,75,Community transmission
Sweden,Europe,560472,55496.32,22480,4174,11425,1131.27,130,0,Community transmission
Pakistan,Eastern Mediterranean,537477,2433.21,12694,1563,11450,51.84,347,74,Community transmission
Bangladesh,South-East Asia,533444,3239.09,3757,528,8072,49.01,122,17,Community transmission
Philippines,Western Pacific,518407,4730.81,12468,2241,10481,95.65,439,95,Community transmission
Switzerland,Europe,515164,59524.73,12726,2206,8499,982.02,308,58,Community transmission
Morocco,Eastern Mediterranean,468383,12689.67,5841,890,8207,222.35,164,20,Clusters of cases
Austria,Europe,405529,45026.77,10451,1606,7515,834.41,350,53,Community transmission
Serbia,Europe,389045,55867.06,11600,1839,3944,566.36,134,20,Community transmission
Japan,Western Pacific,375607,2969.78,30386,3927,5361,42.39,618,109,Clusters of cases
Saudi Arabia,Eastern Mediterranean,367023,10542.44,1460,216,6363,182.77,25,4,Sporadic cases
Hungary,Europe,363450,37622.86,7788,1569,12291,1272.31,578,93,Community transmission
Jordan,Eastern Mediterranean,323111,31667.82,5706,870,4262,417.71,75,14,Community transmission
Panama,Americas,313834,72734.87,12300,1676,5137,1190.56,273,39,Community transmission
Lebanon,Eastern Mediterranean,289660,42438.26,25013,3906,2553,374.04,469,76,Community transmission
United Arab Emirates,Eastern Mediterranean,289086,29228.94,25357,3939,811,82.0,49,6,Community transmission
Nepal,South-East Asia,270375,9279.5,2065,283,2020,69.33,45,3,Clusters of cases
Georgia,Europe,256287,64245.74,5216,723,3127,783.87,129,19,Community transmission
Slovakia,Europe,243427,44586.62,12185,2035,4411,807.93,610,50,Clusters of cases
Ecuador,Americas,242146,13724.72,7831,0,14668,831.38,231,0,Community transmission
Belarus,Europe,241133,25518.55,10639,1651,1678,177.58,68,10,Community transmission
Croatia,Europe,230978,56263.82,3652,619,4943,1204.06,205,30,Community transmission
Kazakhstan,Europe,230188,12259.23,9135,0,3035,161.64,79,0,Clusters of cases
Azerbaijan,Europe,229584,22643.26,1556,226,3105,306.24,61,5,Clusters of cases
Bulgaria,Europe,217014,31232.02,3605,598,8944,1287.19,293,28,Clusters of cases
Dominican Republic,Americas,207455,19123.96,9332,1150,2579,237.74,109,15,Community transmission
Bolivia (Plurinational State of),Americas,205208,17579.68,14118,2390,10105,865.67,383,54,Community transmission
Tunisia,Eastern Mediterranean,202323,17119.01,13950,1661,6446,545.41,525,76,Community transmission
Denmark,Europe,196540,33931.83,5035,592,2050,353.92,178,20,Community transmission
Malaysia,Western Pacific,194114,5997.47,24735,3680,707,21.84,77,7,Clusters of cases
Costa Rica,Americas,191345,37561.95,4468,600,2567,503.91,90,9,Community transmission
Ireland,Europe,191182,38718.16,11858,1331,3120,631.86,352,54,Community transmission
Lithuania,Europe,180170,66183.27,6351,958,2746,1008.71,192,30,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,176679,34633.34,3783,603,1982,388.52,64,5,Community transmission
Armenia,Europe,166669,56245.47,1141,242,3067,1035.01,46,11,Community transmission
Egypt,Eastern Mediterranean,163761,1600.25,4798,632,9115,89.07,368,48,Clusters of cases
Slovenia,Europe,163235,78518.46,8871,1516,3665,1762.92,90,7,Clusters of cases
Kuwait,Eastern Mediterranean,162862,38135.88,3598,580,957,224.09,6,0,Community transmission
Republic of Moldova,Europe,157626,39074.73,3508,654,3396,841.85,97,15,Community transmission
Guatemala,Americas,155459,8677.31,4135,0,5486,306.21,143,0,Community transmission
Greece,Europe,154083,14782.9,4110,857,5724,549.17,179,32,Community transmission
Qatar,Eastern Mediterranean,149933,52041.04,1933,338,248,86.08,0,0,Community transmission
Honduras,Americas,142880,14425.61,6812,896,3486,351.96,95,24,Community transmission
Myanmar,South-East Asia,138802,2551.05,3081,434,3089,56.77,92,7,Clusters of cases
Ethiopia,Africa,135045,1174.68,3011,476,2083,18.12,39,8,Community transmission
Oman,Eastern Mediterranean,133574,26157.0,1257,167,1525,298.63,9,1,Community transmission
Paraguay,Americas,129394,18141.37,6035,1028,2651,371.68,116,19,Community transmission
Nigeria,Africa,126160,612.01,11469,1861,1543,7.49,65,21,Community transmission
Venezuela (Bolivarian Republic of),Americas,124525,4379.14,3408,413,1159,40.76,43,5,Community transmission
Bosnia and Herzegovina,Europe,120864,36839.58,2147,332,4643,1415.2,122,22,Community transmission
Libya,Eastern Mediterranean,116064,16891.15,4940,765,1802,262.25,87,13,Community transmission
Algeria,Africa,106359,2425.46,1753,262,2877,65.61,23,6,Community transmission
Bahrain,Eastern Mediterranean,101116,59424.94,2543,427,371,218.03,5,1,Clusters of cases
China,Western Pacific,100548,68.34,1134,117,4818,3.27,10,2,Clusters of cases
Kenya,Africa,100323,1865.74,879,130,1751,32.56,15,1,Community transmission
Puerto Rico,Americas,92244,32243.53,3731,175,1794,627.09,77,11,Community transmission
North Macedonia,Europe,91555,43945.42,2092,394,2821,1354.05,82,9,Community transmission
Kyrgyzstan,Europe,84303,12921.59,718,128,1408,215.81,14,3,Clusters of cases
Uzbekistan,Europe,78556,2347.11,337,46,621,18.55,1,0,Clusters of cases
Republic of Korea,Western Pacific,76926,1500.43,3010,497,1386,27.03,70,8,Clusters of cases
Albania,Europe,74567,25911.14,5329,876,1339,465.29,48,7,Clusters of cases
Latvia,Europe,63027,33414.84,5219,1103,1138,603.33,106,12,Community transmission
Ghana,Africa,62751,2019.47,3929,616,377,12.13,19,5,Community transmission
Norway,Europe,61594,11361.61,2138,280,556,102.56,13,6,Community transmission
Sri Lanka,South-East Asia,60694,2834.41,5505,772,290,13.54,16,2,Clusters of cases
Montenegro,Europe,59910,95388.06,2456,0,783,1246.68,21,0,Clusters of cases
Singapore,Western Pacific,59391,10151.71,194,25,29,4.96,0,0,Sporadic cases
Kosovo[1],Europe,58948,31685.98,2256,301,1469,789.62,53,8,Community transmission
Afghanistan,Eastern Mediterranean,54891,1410.05,488,37,2397,61.57,34,8,Clusters of cases
El Salvador,Americas,53989,8323.67,2552,510,1589,244.98,68,6,Community transmission
Luxembourg,Europe,50089,80017.19,885,237,571,912.17,9,1,Community transmission
Zambia,Africa,48911,2660.53,7962,1289,688,37.42,103,16,Community transmission
Finland,Europe,43616,7871.9,2450,496,660,119.12,27,5,Community transmission
Estonia,Europe,42656,32155.96,3444,690,406,306.06,52,8,Clusters of cases
Uganda,Africa,39314,859.49,686,53,318,6.95,13,0,Community transmission
Uruguay,Americas,38680,11135.0,5234,639,401,115.44,71,11,Community transmission
Mozambique,Africa,34926,1117.44,5530,871,336,10.75,65,7,Community transmission
Namibia,Africa,33255,13087.86,2002,298,332,130.66,31,4,Community transmission
Zimbabwe,Africa,32304,2173.46,2896,300,1122,75.49,243,19,Community transmission
Cyprus,Europe,30380,25162.36,908,128,193,159.85,17,3,Clusters of cases
Cameroon,Africa,29617,1115.69,1607,0,462,17.4,7,0,Community transmission
Sudan,Eastern Mediterranean,29066,662.86,477,0,1760,40.14,28,0,Community transmission
