WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,95612831,12248.14578257533,4470096,610413,2066176,264.6802170354978,93703,14569,
United States of America,Americas,24037236,72619.47,1391479,152937,398435,1203.72,20989,2280,Community transmission
India,South-East Asia,10610883,7689.02,98790,15223,152869,110.77,1142,151,Clusters of cases
Brazil,Americas,8573864,40336.32,378227,62094,211491,994.97,6801,1192,Community transmission
Russian Federation,Europe,3655839,25051.24,160023,21887,67832,464.81,3892,612,Clusters of cases
The United Kingdom,Europe,3505758,51641.83,294178,38905,93290,1374.22,8523,1820,Community transmission
France,Europe,2916577,44682.4,132669,26565,71261,1091.73,2613,310,Community transmission
Italy,Europe,2414166,39928.76,95130,13568,83681,1384.03,3355,524,Clusters of cases
Spain,Europe,2412318,51595.11,184705,18500,54637,1168.59,1146,80,Community transmission
Germany,Europe,2088400,24926.02,109810,20398,49783,594.18,5902,1013,Community transmission
Colombia,Americas,1939071,38108.51,122989,15939,49402,970.9,2620,398,Community transmission
Argentina,Americas,1819569,40259.72,74865,12141,46066,1019.25,1218,234,Community transmission
Mexico,Americas,1668396,12940.05,112368,18894,142832,1107.8,7150,1584,Community transmission
Turkey,Europe,1591878,18874.74,50377,6435,24487,290.34,1162,159,Community transmission
Poland,Europe,1457755,38517.45,43393,7008,34561,913.19,2105,420,Community transmission
South Africa,Africa,1369426,23089.8,91123,12710,38854,655.11,3714,566,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1348316,16052.73,42977,6182,57057,679.31,600,84,Community transmission
Ukraine,Europe,1177621,26927.05,38857,5583,21499,491.59,1123,241,Community transmission
Peru,Americas,1073214,32549.4,32983,4412,39044,1184.16,705,113,Community transmission
Indonesia,South-East Asia,939948,3436.44,81905,12568,26857,98.19,1906,267,Community transmission
Netherlands,Europe,927110,54106.62,38232,5615,13248,773.16,573,87,Community transmission
Czechia,Europe,917359,85662.59,50837,8228,14973,1398.17,1117,153,Community transmission
Canada,Americas,719751,19070.22,45278,4679,18266,483.97,1033,146,Community transmission
Romania,Europe,700898,36433.58,19506,3000,17485,908.89,516,116,Community transmission
Belgium,Europe,684256,59040.4,10099,0,20572,1775.04,297,0,Community transmission
Chile,Americas,680740,35610.63,28215,3589,17594,920.37,390,21,Community transmission
Iraq,Eastern Mediterranean,610598,15180.51,5182,746,12968,322.41,53,6,Community transmission
Portugal,Europe,581605,57038.5,74497,14647,9465,928.24,1229,219,Clusters of cases
Israel,Europe,569152,65755.84,56629,8570,4158,480.39,363,41,Community transmission
Sweden,Europe,537967,53267.94,25803,4706,10797,1069.09,137,2,Community transmission
Bangladesh,South-East Asia,529687,3216.28,4777,656,7950,48.27,117,8,Community transmission
Pakistan,Eastern Mediterranean,524783,2375.74,15959,1772,11103,50.26,331,48,Community transmission
Philippines,Western Pacific,505939,4617.03,13239,1855,10042,91.64,343,64,Community transmission
Switzerland,Europe,502438,58054.3,14517,2717,8191,946.43,380,69,Community transmission
Morocco,Eastern Mediterranean,462542,12531.43,7487,1152,8043,217.91,233,32,Clusters of cases
Austria,Europe,395078,43866.37,10069,1634,7165,795.55,339,38,Community transmission
Serbia,Europe,377445,54201.29,11254,1646,3810,547.12,146,19,Community transmission
Saudi Arabia,Eastern Mediterranean,365563,10500.5,1292,238,6338,182.05,34,3,Sporadic cases
Hungary,Europe,355662,36816.67,8026,1410,11713,1212.48,647,98,Community transmission
Japan,Western Pacific,345221,2729.53,42598,5447,4743,37.5,510,96,Clusters of cases
Jordan,Eastern Mediterranean,317405,31108.58,6437,978,4187,410.36,96,17,Community transmission
Panama,Americas,301534,69884.19,16441,2173,4864,1127.29,303,36,Community transmission
Nepal,South-East Asia,268310,9208.63,2167,318,1975,67.78,38,6,Clusters of cases
Lebanon,Eastern Mediterranean,264647,38773.59,32711,4332,2084,305.33,344,64,Community transmission
United Arab Emirates,Eastern Mediterranean,263729,26665.14,24142,3506,762,77.04,39,6,Community transmission
Georgia,Europe,251071,62938.2,6459,1137,2998,751.54,131,11,Community transmission
Ecuador,Americas,234315,13280.86,10000,1747,14437,818.28,208,55,Community transmission
Slovakia,Europe,231242,42354.79,13264,2464,3801,696.2,541,64,Clusters of cases
Belarus,Europe,230494,24392.65,12798,1778,1610,170.38,66,9,Community transmission
Azerbaijan,Europe,228028,22489.79,2208,332,3044,300.22,87,12,Clusters of cases
Croatia,Europe,227326,55374.23,4229,776,4738,1154.13,221,27,Community transmission
Kazakhstan,Europe,219527,11691.45,6715,0,2956,157.43,71,0,Clusters of cases
Bulgaria,Europe,213409,30713.2,2993,482,8651,1245.03,302,37,Clusters of cases
Dominican Republic,Americas,198123,18263.7,11740,1532,2470,227.69,42,9,Community transmission
Denmark,Europe,191505,33062.56,6346,886,1872,323.19,212,35,Community transmission
Bolivia (Plurinational State of),Americas,191090,16370.23,14329,2357,9722,832.86,268,42,Community transmission
Tunisia,Eastern Mediterranean,188373,15938.66,19805,3890,5921,500.99,506,77,Community transmission
Costa Rica,Americas,186877,36684.86,5784,861,2477,486.25,110,19,Community transmission
Ireland,Europe,179324,36316.68,20180,2485,2768,560.58,308,60,Community transmission
Lithuania,Europe,173819,63850.31,9405,1759,2554,938.18,208,40,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,172896,33891.78,4244,497,1918,375.97,104,10,Community transmission
Malaysia,Western Pacific,169379,5233.24,24861,4008,630,19.46,67,11,Clusters of cases
Armenia,Europe,165528,55860.42,1952,307,3021,1019.49,58,5,Community transmission
Kuwait,Eastern Mediterranean,159264,37293.37,3390,442,951,222.69,5,1,Community transmission
Egypt,Eastern Mediterranean,158963,1553.37,6244,789,8747,85.47,385,51,Clusters of cases
Republic of Moldova,Europe,154118,38205.11,3172,612,3299,817.81,106,17,Community transmission
Slovenia,Europe,152851,73523.6,9146,1714,3442,1655.65,240,49,Clusters of cases
Guatemala,Americas,151324,8446.51,5338,1047,5343,298.23,226,30,Community transmission
Greece,Europe,149973,14388.59,3285,511,5545,531.99,191,27,Community transmission
Qatar,Eastern Mediterranean,148000,51370.11,1520,271,248,86.08,2,0,Community transmission
Honduras,Americas,136068,13737.85,6263,1130,3391,342.37,97,23,Community transmission
Myanmar,South-East Asia,135721,2494.42,3461,478,2997,55.08,95,11,Clusters of cases
Oman,Eastern Mediterranean,132317,25910.85,1231,171,1516,296.87,8,0,Community transmission
Ethiopia,Africa,132034,1148.49,2589,307,2044,17.78,38,7,Community transmission
Paraguay,Americas,123359,17295.25,5769,771,2535,355.41,98,17,Community transmission
Venezuela (Bolivarian Republic of),Americas,121117,4259.29,3818,673,1116,39.25,38,4,Community transmission
Bosnia and Herzegovina,Europe,118717,36185.17,2049,334,4521,1378.01,122,12,Community transmission
Nigeria,Africa,114691,556.38,10692,1386,1478,7.17,96,14,Community transmission
Libya,Eastern Mediterranean,111124,16172.21,4454,659,1715,249.59,86,15,Community transmission
Algeria,Africa,104606,2385.48,1965,265,2854,65.08,38,6,Community transmission
Kenya,Africa,99444,1849.39,889,136,1736,32.28,16,2,Community transmission
China,Western Pacific,99414,67.57,1297,223,4808,3.27,5,1,Clusters of cases
Bahrain,Eastern Mediterranean,98573,57930.45,2103,313,366,215.09,10,4,Clusters of cases
