WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,69808588,8942.583895457912,4313643,656181,1588854,203.5345592813578,74653,11868,
United States of America,Americas,15404889,46540.08,1426718,201681,290133,876.53,16056,2749,Community transmission
India,South-East Asia,9826775,7120.83,218564,30006,142628,103.35,2928,442,Clusters of cases
Brazil,Americas,6781799,31905.43,294715,53347,179765,845.72,4495,770,Community transmission
Russian Federation,Europe,2625848,17993.34,194117,28137,46453,318.31,3769,560,Clusters of cases
France,Europe,2310701,35400.29,81721,13276,57198,876.28,2794,626,Community transmission
The United Kingdom,Europe,1809459,26654.37,119023,21672,63506,935.48,2889,424,Community transmission
Italy,Europe,1805873,29867.99,116934,18726,63387,1048.38,4535,761,Clusters of cases
Spain,Europe,1730575,37013.86,36712,5677,47624,1018.59,806,50,Community transmission
Argentina,Americas,1483376,32821.12,35644,8154,40442,894.82,1137,220,Community transmission
Colombia,Americas,1399911,27512.41,56589,7778,38484,756.32,1179,176,Community transmission
Germany,Europe,1300516,15522.26,146961,28438,21466,256.21,2949,496,Clusters of cases
Mexico,Americas,1217126,9440.01,72483,11897,112326,871.2,4153,671,Community transmission
Poland,Europe,1115201,29466.34,73355,13105,22174,585.89,2815,544,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1092617,13008.44,75782,9594,51728,615.86,2033,232,Community transmission
Peru,Americas,979111,29695.36,10265,1799,36499,1106.97,395,44,Community transmission
Turkey,Europe,966335,11457.74,221875,32106,15977,189.44,1468,226,Community transmission
Ukraine,Europe,885039,20236.97,83323,12811,14998,342.94,1577,243,Community transmission
South Africa,Africa,845083,14248.89,39279,8319,22952,386.99,989,205,Community transmission
Indonesia,South-East Asia,605243,2212.76,41563,6310,18511,67.68,1032,175,Community transmission
Belgium,Europe,603159,52043.02,11728,2,17792,1535.17,517,16,Community transmission
Netherlands,Europe,593958,34663.7,50694,8894,9957,581.1,347,65,Community transmission
Czechia,Europe,575422,53732.66,33016,6217,9450,882.44,712,109,Community transmission
Iraq,Eastern Mediterranean,572600,14235.82,11978,1347,12549,311.99,162,23,Community transmission
Chile,Americas,567974,29711.66,10839,1534,15782,825.58,224,8,Community transmission
Romania,Europe,545567,28359.28,45294,6460,13116,681.79,1064,168,Community transmission
Bangladesh,South-East Asia,487849,2962.24,13858,1884,6986,42.42,214,19,Community transmission
Philippines,Western Pacific,447039,4079.53,10694,1499,8709,79.48,200,8,Community transmission
Canada,Americas,442069,11712.87,45799,6739,13109,347.33,702,126,Community transmission
Pakistan,Eastern Mediterranean,432327,1957.18,22255,3047,8653,39.17,393,50,Clusters of cases
Morocco,Eastern Mediterranean,394564,10689.73,21944,3035,6542,177.24,406,50,Clusters of cases
Switzerland,Europe,372329,43020.83,29228,5111,5378,621.4,546,105,Community transmission
Saudi Arabia,Eastern Mediterranean,359583,10328.73,1247,168,6023,173.01,83,11,Sporadic cases
Israel,Europe,350772,40525.74,9349,0,2956,341.52,60,0,Community transmission
Portugal,Europe,340287,33372.24,27734,5080,5373,526.93,570,95,Clusters of cases
Sweden,Europe,320098,31695.18,39691,6051,7514,744.01,165,7,Community transmission
Austria,Europe,314093,34874.43,19022,3026,4259,472.89,672,101,Community transmission
Hungary,Europe,276247,28595.96,32666,5047,6784,702.25,1078,162,Community transmission
Serbia,Europe,255758,36726.98,48818,6534,2227,319.8,393,55,Community transmission
Jordan,Eastern Mediterranean,255459,25037.31,21106,2338,3286,322.06,326,36,Community transmission
Nepal,South-East Asia,246694,8466.75,7833,1044,1674,57.45,107,11,Clusters of cases
Ecuador,Americas,200765,11379.27,4881,386,13858,785.46,246,8,Community transmission
Georgia,Europe,187006,46878.46,28852,3907,1744,437.18,282,50,Community transmission
Panama,Americas,185424,42974.28,14205,2447,3287,761.8,146,23,Community transmission
Kazakhstan,Europe,183630,9779.67,4286,0,2542,135.38,65,0,Clusters of cases
United Arab Emirates,Eastern Mediterranean,182601,18462.44,8539,1196,607,61.37,21,5,Community transmission
Bulgaria,Europe,177665,25569.03,18858,3097,5562,800.47,912,157,Clusters of cases
Japan,Western Pacific,174299,1378.11,16625,2757,2534,20.04,251,32,Clusters of cases
Croatia,Europe,168388,41017.55,25018,4396,2484,605.08,452,64,Community transmission
Azerbaijan,Europe,167155,16486.05,29155,4381,1840,181.47,289,47,Clusters of cases
Belarus,Europe,156359,16547.11,12976,1967,1246,131.86,56,8,Community transmission
Dominican Republic,Americas,152452,14053.58,5772,731,2359,217.46,16,1,Community transmission
Costa Rica,Americas,149815,29409.41,7310,1127,1882,369.45,125,18,Community transmission
Armenia,Europe,147312,49713.1,6353,995,2462,830.85,153,17,Community transmission
Bolivia (Plurinational State of),Americas,146385,12540.46,1199,325,9008,771.69,26,4,Community transmission
Kuwait,Eastern Mediterranean,145789,34138.06,1872,294,910,213.09,24,0,Community transmission
Lebanon,Eastern Mediterranean,143705,21054.3,9451,1518,1182,173.18,104,12,Community transmission
Qatar,Eastern Mediterranean,140680,48829.37,1037,164,240,83.3,1,0,Community transmission
Guatemala,Americas,128541,7174.82,3736,755,4376,244.26,152,31,Community transmission
Slovakia,Europe,127087,23277.53,13695,2166,1122,205.51,165,18,Clusters of cases
Oman,Eastern Mediterranean,125669,24609.01,1340,0,1463,286.49,28,0,Community transmission
Republic of Moldova,Europe,124264,30804.45,10435,1579,2521,624.94,137,21,Community transmission
Greece,Europe,122648,11766.99,9463,1395,3472,333.11,668,102,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,121157,23749.69,12877,1743,1029,201.71,139,21,Community transmission
